number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc
92,0.08926801625724967,2026-03-13 05:03:17.219183,2026-03-13 05:49:35.615993,0 days 00:46:18.396810,32,6,0.4,0.00867896228663286,10,meta,64,128,1,0.2928649521087181,0.1,0.09423308518090419,0.004443858619013803,0.4,5,20,BiLSTM,6,1,coral,15,2.3786086377063502,0.6231769779138396,15,0.7227322200575723,0.3123113354476652,31,5.5095119522970473e-05,0.5305147058823529,0.11746464032464042,0.08926801625724967,0.16672794117647058,COMPLETE,0.11746464032464042,0.16672794117647058,0.5305147058823529,0.08926801625724967
19,0.08347450594661009,2026-03-12 01:07:34.873059,2026-03-12 01:28:55.546621,0 days 00:21:20.673562,32,2,0.30000000000000004,0.008287314140806419,20,meta,256,32,1,0.3668943531289902,0.30000000000000004,0.013809357684860475,0.00031241444554584805,0.4,5,20,BiLSTM,6,1,coral,15,2.9477162066394227,1.1520370845596153,9,0.8479834020341792,0.2283844264750368,41,2.883050356056808e-07,0.525,0.10427346804107852,0.08347450594661009,0.159375,COMPLETE,0.10427346804107852,0.159375,0.525,0.08347450594661009
45,0.0831320483606341,2026-03-12 11:30:35.413969,2026-03-12 11:48:17.995529,0 days 00:17:42.581560,32,2,0.4,0.008909058832426927,10,meta,64,32,1,0.3550797939954872,0.30000000000000004,0.061627437383411365,0.009958115239063222,0.4,5,20,BiLSTM,6,1,coral,20,2.15419683072099,0.9766814553278318,15,0.8342086212332768,0.25320057308467403,31,1.4065261483588398e-06,0.5275735294117647,0.10693847167350479,0.0831320483606341,0.15735294117647058,COMPLETE,0.10693847167350479,0.15735294117647058,0.5275735294117647,0.0831320483606341
32,0.08152905719102106,2026-03-12 06:47:32.081198,2026-03-12 07:02:36.467776,0 days 00:15:04.386578,64,4,0.8,0.0027654303177935243,10,meta,64,128,1,0.7497419072974092,0.30000000000000004,0.050296996204863234,0.0013109280074506942,0.8,10,50,BiLSTM,6,1,coral,20,2.8100325976943914,1.156157628677723,9,0.8610593579848292,0.25035199871816965,21,1.0060435081285136e-06,0.5259191176470588,0.11120054441688187,0.08152905719102106,0.17352941176470588,COMPLETE,0.11120054441688187,0.17352941176470588,0.5259191176470588,0.08152905719102106
14,0.07747743375897954,2026-03-11 22:13:18.725979,2026-03-11 22:42:39.250457,0 days 00:29:20.524478,64,4,0.7000000000000001,0.004388386295262613,10,meta,128,64,1,0.6527335534007777,0.30000000000000004,0.059306598806732544,0.0023985248888326875,0.8,5,50,BiLSTM,6,1,coral,15,2.3410601455542883,1.1926055410627951,15,0.87419748119322,0.3365508982324331,21,1.5478031572070739e-06,0.525,0.1123588337438546,0.07747743375897954,0.1556985294117647,COMPLETE,0.1123588337438546,0.1556985294117647,0.525,0.07747743375897954
57,0.07734069476502985,2026-03-12 16:16:56.696535,2026-03-12 16:27:17.019341,0 days 00:10:20.322806,128,2,0.4,0.009153397136474237,10,meta,64,32,1,0.6785182540735795,0.4,0.031251505554707924,0.0010596245852591598,0.4,7,20,GRU,6,2,coral,15,1.7399443188432808,0.744711075453061,9,0.8154280960158886,0.1853673564566666,31,2.176511143003161e-07,0.5207720588235294,0.11806454701444803,0.07734069476502985,0.178125,COMPLETE,0.11806454701444803,0.178125,0.5207720588235294,0.07734069476502985
35,0.07632684058918837,2026-03-12 07:32:32.246598,2026-03-12 07:50:53.513266,0 days 00:18:21.266668,32,2,0.4,0.009975856079554889,20,meta_err,64,32,1,0.634812331401891,0.30000000000000004,0.03866128156477632,0.0018000356404205909,0.4,5,20,GRU,6,1,corn,20,1.9859936027933165,1.0266209610065178,15,0.8736967845730876,0.1742408166672572,31,6.176818273959349e-07,0.5292279411764705,0.11130353161839963,0.07632684058918837,0.184375,COMPLETE,0.11130353161839963,0.184375,0.5292279411764705,0.07632684058918837
7,0.07556885190472713,2026-03-11 19:14:56.363106,2026-03-11 19:41:33.545966,0 days 00:26:37.182860,32,2,0.30000000000000004,0.009802523536666862,10,meta,64,32,1,0.26249532371661677,0.30000000000000004,0.026781457077760466,0.0008912037825192801,0.4,5,20,GRU,6,1,coral,20,2.178905767255121,0.9607109508296254,15,0.8778525299625516,0.21332644341448517,31,1.0226048287114458e-07,0.5262867647058823,0.10568916890764991,0.07556885190472713,0.15625,COMPLETE,0.10568916890764991,0.15625,0.5262867647058823,0.07556885190472713
27,0.07535042171602417,2026-03-12 05:03:11.632854,2026-03-12 05:27:09.503244,0 days 00:23:57.870390,32,2,0.30000000000000004,0.008940491001743914,10,meta,64,64,1,0.4645371889032939,0.2,0.010821103396470584,0.0003834208626535729,0.4,5,20,GRU,6,1,coral,20,2.229339527845759,0.9252251557277948,21,0.8428601786514265,0.27454685235830883,31,3.1749572143457477e-07,0.5268382352941177,0.11453490707928848,0.07535042171602417,0.17058823529411765,COMPLETE,0.11453490707928848,0.17058823529411765,0.5268382352941177,0.07535042171602417
15,0.07322554349700915,2026-03-11 22:42:39.251236,2026-03-11 23:11:27.644033,0 days 00:28:48.392797,64,4,0.7000000000000001,0.0062104075551435356,10,meta,128,64,1,0.4723885350829735,0.30000000000000004,0.054803270035222146,0.003173885597744883,0.8,5,50,BiGRU,6,1,coral,5,2.484710283931113,0.8792731654036359,15,0.8543229118292688,0.3694635129106911,21,3.7043157826563e-05,0.5237132352941176,0.10626473492546427,0.07322554349700915,0.16011029411764705,COMPLETE,0.10626473492546427,0.16011029411764705,0.5237132352941176,0.07322554349700915
