number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc
32,0.08365913147565207,2026-03-13 04:04:23.756007,2026-03-13 04:24:07.405028,0 days 00:19:43.649021,128,4,0.5,0.004996426619119808,10,meta_stance,128,64,1,1.589389511631497,0.30000000000000004,0.08612894240441415,0.0014561857298718349,0.8,5,30,LSTM,6,1,corn,5,3.0737998423780613,0.8407268857975492,9,0.6678698288190305,0.3915605968864497,31,4.021350180182029e-06,0.5237132352941176,0.12331258138305048,0.08365913147565207,0.18088235294117647,COMPLETE,0.12331258138305048,0.18088235294117647,0.5237132352941176,0.08365913147565207
62,0.07486574361080377,2026-03-13 17:29:46.812389,2026-03-13 18:04:16.062430,0 days 00:34:29.250041,64,6,0.4,0.005277107459033647,15,meta_unified_emotion,128,128,1,1.029398235579466,0.4,0.05103053821515442,0.00025565829611640323,0.8,7,50,BiLSTM,6,2,coral,10,3.364206482110536,0.7005030222840773,15,0.6523650528048927,0.32654853216847074,21,2.5994368799232753e-06,0.5193014705882353,0.11114947523770904,0.07486574361080377,0.16029411764705884,COMPLETE,0.11114947523770904,0.16029411764705884,0.5193014705882353,0.07486574361080377
98,0.07270289134955522,2026-03-14 10:46:00.397886,2026-03-14 11:06:05.094541,0 days 00:20:04.696655,128,4,0.0,0.009889485356503499,10,meta_unified_emotion,128,64,1,1.8819847090978692,0.30000000000000004,0.050891998483472305,9.724476284859276e-05,0.8,5,30,BiGRU,6,1,coral,5,2.8436616059734865,0.9155663150380047,9,0.7484471285630391,0.39850727335250197,31,8.954029166773311e-07,0.5169117647058824,0.10794672389956692,0.07270289134955522,0.16397058823529412,COMPLETE,0.10794672389956692,0.16397058823529412,0.5169117647058824,0.07270289134955522
29,0.07085339086914014,2026-03-13 03:03:26.234986,2026-03-13 03:23:30.265092,0 days 00:20:04.030106,64,4,0.6000000000000001,0.00559057045168835,10,meta_stance,128,64,1,1.3384959815059008,0.4,0.08002413752032776,0.0006277727801379193,0.8,7,30,LSTM,6,1,corn,5,2.9739675733752495,0.5932587099934744,9,0.6821001171926604,0.37701808267117837,31,9.555566764055207e-06,0.5163602941176471,0.11222880221527314,0.07085339086914014,0.171875,COMPLETE,0.11222880221527314,0.171875,0.5163602941176471,0.07085339086914014
37,0.07045478932954653,2026-03-13 06:46:48.439817,2026-03-13 07:06:29.068742,0 days 00:19:40.628925,64,4,0.30000000000000004,0.0074733888132400604,10,meta_stance,128,32,1,1.1073789499983226,0.30000000000000004,0.08715655514226257,0.0016399848422413176,0.4,7,50,GRU,6,1,corn,10,2.931776964059457,0.43621672762195507,9,0.639836534983997,0.3646947651387948,31,4.599669914580951e-06,0.5152573529411765,0.10964824911380103,0.07045478932954653,0.17058823529411765,COMPLETE,0.10964824911380103,0.17058823529411765,0.5152573529411765,0.07045478932954653
87,0.07014177291466495,2026-03-14 07:01:41.296005,2026-03-14 07:20:33.506712,0 days 00:18:52.210707,128,4,0.4,0.005202620722787516,10,meta_unified_emotion,256,64,1,1.7731819388022252,0.30000000000000004,0.09155267516356017,0.006630577695600692,0.8,10,30,GRU,6,2,corn,10,3.0509380088506846,0.8916108456529734,9,0.6558240462390614,0.3429866160278567,31,7.904272313995898e-06,0.5202205882352942,0.116933244472646,0.07014177291466495,0.175,COMPLETE,0.116933244472646,0.175,0.5202205882352942,0.07014177291466495
17,0.0692754082886921,2026-03-12 21:31:32.941766,2026-03-12 22:17:10.452680,0 days 00:45:37.510914,64,4,0.4,0.004076100569050275,10,meta_stance,128,64,1,1.348329917170594,0.4,0.07319020600507922,0.0003635813003747718,0.8,7,30,BiLSTM,6,2,coral,5,3.2989857585752334,0.6727769828581756,21,0.7319170924973262,0.354017403509314,31,4.674174923720095e-06,0.5259191176470588,0.11833061734751883,0.0692754082886921,0.17058823529411765,COMPLETE,0.11833061734751883,0.17058823529411765,0.5259191176470588,0.0692754082886921
43,0.06761612937387415,2026-03-13 08:55:08.489369,2026-03-13 09:19:38.773886,0 days 00:24:30.284517,64,4,0.2,0.003090915570707243,10,meta_unified_emotion,128,64,1,1.185105423736603,0.4,0.0712502061289319,0.0001447182447310294,0.8,7,30,BiLSTM,6,2,coral,5,3.4631376785992636,0.5336679035442101,15,0.7537700427245859,0.36244807364610876,21,1.226980120633972e-05,0.5165441176470589,0.10344095198740805,0.06761612937387415,0.146875,COMPLETE,0.10344095198740805,0.146875,0.5165441176470589,0.06761612937387415
25,0.06673469098951348,2026-03-13 02:11:01.633674,2026-03-13 02:24:11.292388,0 days 00:13:09.658714,64,2,0.8,0.00775134809633854,15,meta_all_nlp,128,64,1,1.0998941211987865,0.4,0.08394611954207191,0.000447071684555376,0.4,10,50,BiGRU,6,1,coral,5,2.3329636590530205,0.4030260184302702,9,0.7470619574634353,0.339888527129848,31,0.0005142438379588035,0.5128676470588235,0.10779917324459351,0.06673469098951348,0.14393382352941175,COMPLETE,0.10779917324459351,0.14393382352941175,0.5128676470588235,0.06673469098951348
97,0.06641131287860629,2026-03-14 10:26:08.324417,2026-03-14 10:46:00.397090,0 days 00:19:52.072673,128,4,0.30000000000000004,0.007679780822495786,10,meta_unified_emotion,128,64,1,1.7267984262975435,0.4,0.06292999083153426,0.0001195202884741692,0.8,10,30,BiGRU,6,1,coral,10,2.7076306951724245,0.8022806209987144,9,0.7683060260828924,0.39795677646353805,31,2.3813400926818337e-06,0.5246323529411765,0.10825970615268217,0.06641131287860629,0.16341911764705883,COMPLETE,0.10825970615268217,0.16341911764705883,0.5246323529411765,0.06641131287860629
