number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
140,0.7159380265180576,2026-02-03 15:48:14.565731,2026-02-03 15:58:47.548807,0 days 00:10:32.983076,16,0.6,20,base,256,128,5,0.30000000000000004,0.0015370131657978761,0.8,5,50,BiGRU,2,36,3.3110270440909284e-05,,0.7159380265180576,,,,COMPLETE,0.7159380265180576,,,,
133,0.7115319814254515,2026-02-03 14:23:38.621124,2026-02-03 14:34:47.295778,0 days 00:11:08.674654,16,0.6,20,base,256,128,5,0.30000000000000004,0.0018539781008622006,0.8,5,50,BiGRU,2,36,3.7133881355010314e-05,,0.7115319814254515,,,,COMPLETE,0.7115319814254515,,,,
102,0.7114404302945497,2026-02-03 11:02:46.691758,2026-02-03 11:04:06.570786,0 days 00:01:19.879028,32,0.6,20,text_indicators,256,128,5,0.30000000000000004,0.001981515069304455,0.4,7,20,GRU,1,18,5.30434575087754e-06,,0.7114404302945497,,,,COMPLETE,0.7114404302945497,,,,
136,0.7111752931179428,2026-02-03 15:04:03.386740,2026-02-03 15:16:16.735149,0 days 00:12:13.348409,16,0.6,20,base,256,128,5,0.30000000000000004,0.0019068578085790079,0.8,5,50,BiGRU,2,36,3.592939894264694e-05,,0.7111752931179428,,,,COMPLETE,0.7111752931179428,,,,
134,0.7110322581271867,2026-02-03 14:34:47.297378,2026-02-03 14:46:09.989170,0 days 00:11:22.691792,16,0.6,20,base,256,128,5,0.30000000000000004,0.001937661270553747,0.8,5,50,BiGRU,2,36,3.2566150413305556e-05,,0.7110322581271867,,,,COMPLETE,0.7110322581271867,,,,
121,0.7107904905895326,2026-02-03 11:49:08.515437,2026-02-03 12:18:03.727157,0 days 00:28:55.211720,16,0.6,20,base,256,128,5,0.30000000000000004,0.0014124554075732824,0.8,5,50,BiGRU,2,36,1.8727226353751378e-05,,0.7107904905895326,,,,COMPLETE,0.7107904905895326,,,,
141,0.7102198472734504,2026-02-03 15:58:47.550137,2026-02-03 16:09:47.493915,0 days 00:10:59.943778,16,0.6,20,base,256,128,5,0.30000000000000004,0.0014761209472044581,0.8,5,50,BiGRU,2,36,4.0700150177228875e-05,,0.7102198472734504,,,,COMPLETE,0.7102198472734504,,,,
131,0.7101060350158637,2026-02-03 14:01:07.083605,2026-02-03 14:11:44.573171,0 days 00:10:37.489566,16,0.6,20,base,256,128,5,0.30000000000000004,0.001991655654347698,0.8,5,50,BiGRU,2,36,5.6090013695967646e-05,,0.7101060350158637,,,,COMPLETE,0.7101060350158637,,,,
130,0.7100659931306268,2026-02-03 13:50:45.745501,2026-02-03 14:01:07.082917,0 days 00:10:21.337416,16,0.6,20,base,256,128,5,0.30000000000000004,0.001947608599882753,0.8,5,50,BiGRU,2,36,3.656639070890903e-05,,0.7100659931306268,,,,COMPLETE,0.7100659931306268,,,,
138,0.7092734948739932,2026-02-03 15:27:06.735720,2026-02-03 15:37:57.963601,0 days 00:10:51.227881,16,0.6,20,base,256,128,5,0.30000000000000004,0.001904322782346781,0.8,5,50,BiGRU,2,36,4.3332529476738554e-05,,0.7092734948739932,,,,COMPLETE,0.7092734948739932,,,,
