company,sector,model_type,problem_type,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiGRU,classification,,,,0.024586607867672354,0.5652173913043478,0.45614035087719296,0.7428571428571429,0.48717948717948717,468,312,78,78,16
ABBV,Healthcare,BiGRU,classification,,,,0.2568457602164636,0.711864406779661,0.6363636363636364,0.8076923076923077,0.6382978723404256,283,189,47,47,18
AMGN,Healthcare,BiGRU,classification,,,,0.17679681834819655,0.25806451612903225,0.8,0.15384615384615385,0.5208333333333334,293,196,49,48,16
AMZN,Services,BiGRU,classification,,,,0.0,0.0,0.0,0.0,0.4605263157894737,458,306,76,76,16
BA,Industrial Goods,BiGRU,classification,,,,0.49888765156985887,0.7636363636363637,0.7777777777777778,0.75,0.75,315,211,52,52,20
BABA,Services,BiGRU,classification,,,,0.19322592297603736,0.5454545454545454,0.631578947368421,0.48,0.5918367346938775,245,157,39,49,16
BAC,Financial,BiGRU,classification,,,,0.024573659359149524,0.38461538461538464,0.4166666666666667,0.35714285714285715,0.5428571428571428,425,284,71,70,16
BHP,Basic Matierials,BiGRU,classification,,,,0.0,0.59375,0.4222222222222222,1.0,0.4222222222222222,183,111,27,45,16
BP,Basic Matierials,BiGRU,classification,,,,0.13080416089248587,0.56,0.4117647058823529,0.875,0.47619047619047616,254,170,42,42,17
C,Financial,BiGRU,classification,,,,-0.005366734884263648,0.15789473684210525,0.42857142857142855,0.0967741935483871,0.5492957746478874,429,287,71,71,16
CAT,Industrial Goods,BiGRU,classification,,,,0.18663083698528476,0.6037735849056604,0.5517241379310345,0.6666666666666666,0.5882352941176471,310,208,51,51,16
CELG,Healthcare,BiGRU,classification,,,,0.15207018804111255,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.576271186440678,357,239,59,59,16
CMCSA,Services,BiGRU,classification,,,,-0.10913601593968009,0.5098039215686274,0.41935483870967744,0.65,0.4318181818181818,265,177,44,44,16
CSCO,Technology,BiGRU,classification,,,,0.2211629342323457,0.6753246753246753,0.5652173913043478,0.8387096774193549,0.5967741935483871,372,248,62,62,20
CVX,Basic Matierials,BiGRU,classification,,,,0.2780614712939961,0.5777777777777777,0.65,0.52,0.6415094339622641,323,216,54,53,16
D,Utilities,BiGRU,classification,,,,0.07269833993085317,0.6521739130434783,0.5555555555555556,0.7894736842105263,0.5492957746478874,427,285,71,71,17
DIS,Services,BiGRU,classification,,,,-0.05038878558710019,0.5507246376811594,0.59375,0.5135135135135135,0.48333333333333334,365,244,61,60,16
FB,Technology,BiGRU,classification,,,,0.0,0.0,0.0,0.0,0.38961038961038963,463,309,77,77,16
GE,Industrial Goods,BiGRU,classification,,,,0.0,0.0,0.0,0.0,0.4090909090909091,401,268,67,66,18
GOOG,Technology,BiGRU,classification,,,,0.0,0.0,0.0,0.0,0.4605263157894737,460,308,76,76,19
HD,Services,BiGRU,classification,,,,0.2808160283190181,0.43902439024390244,0.9,0.2903225806451613,0.5306122448979592,295,197,49,49,16
INTC,Technology,BiGRU,classification,,,,0.24910075092220743,0.7021276595744681,0.55,0.9705882352941176,0.582089552238806,404,270,67,67,16
JNJ,Healthcare,BiGRU,classification,,,,0.11379006666536709,0.7333333333333333,0.5892857142857143,0.9705882352941176,0.5932203389830508,356,238,59,59,17
JPM,Financial,BiGRU,classification,,,,0.0,0.0,0.0,0.0,0.5223880597014925,403,269,67,67,16
KO,Consumer Goods,BiGRU,classification,,,,0.1620185174601965,0.5283018867924528,0.6666666666666666,0.4375,0.5614035087719298,344,230,57,57,20
LMT,Industrial Goods,BiGRU,classification,,,,0.06388765649999399,0.5806451612903226,0.42857142857142855,0.9,0.4583333333333333,193,116,29,48,16
MA,Financial,BiGRU,classification,,,,0.08422015601530061,0.6545454545454545,0.6206896551724138,0.6923076923076923,0.5681818181818182,264,176,44,44,17
MCD,Services,BiGRU,classification,,,,0.17076980715181317,0.37209302325581395,0.7272727272727273,0.25,0.5344827586206896,351,235,58,58,18
MDT,Healthcare,BiGRU,classification,,,,0.015446689356916498,0.6875,0.5365853658536586,0.9565217391304348,0.5348837209302325,173,104,26,43,21
MMM,Industrial Goods,BiGRU,classification,,,,0.0,0.6764705882352942,0.5111111111111111,1.0,0.5111111111111111,225,144,36,45,16
MO,Consumer Goods,BiGRU,classification,,,,0.236227795630767,0.71875,0.575,0.9583333333333334,0.6,225,144,36,45,23
MRK,Healthcare,BiGRU,classification,,,,0.0,0.6923076923076923,0.5294117647058824,1.0,0.5294117647058824,311,208,52,51,18
MSFT,Technology,BiGRU,classification,,,,0.13470294806095667,0.3018867924528302,0.7272727272727273,0.19047619047619047,0.5,447,299,74,74,18
NVS,Healthcare,BiGRU,classification,,,,0.3295017884191656,0.7037037037037037,0.5428571428571428,1.0,0.5897435897435898,158,96,23,39,19
ORCL,Technology,BiGRU,classification,,,,0.0,0.6363636363636364,0.4666666666666667,1.0,0.4666666666666667,273,183,45,45,16
PCLN,Services,BiGRU,classification,,,,0.0,0.0,0.0,0.0,0.4264705882352941,408,272,68,68,17
PEP,Consumer Goods,BiGRU,classification,,,,0.0,0.6666666666666666,0.5,1.0,0.5,222,143,35,44,16
PFE,Healthcare,BiGRU,classification,,,,0.11976925997516315,0.3902439024390244,0.5714285714285714,0.2962962962962963,0.5689655172413793,348,232,58,58,16
PG,Consumer Goods,BiGRU,classification,,,,-0.11298653657320641,0.7532467532467533,0.6170212765957447,0.9666666666666667,0.6041666666666666,288,192,48,48,16
SLB,Basic Matierials,BiGRU,classification,,,,0.0615486357075876,0.4878048780487805,0.37037037037037035,0.7142857142857143,0.475,204,132,32,40,18
SO,Utilities,BiGRU,classification,,,,0.0,0.0,0.0,0.0,0.46153846153846156,159,96,24,39,16
T,Technology,BiGRU,classification,,,,0.06757373783994859,0.6666666666666666,0.5068493150684932,0.9736842105263158,0.5131578947368421,460,308,76,76,18
UNH,Healthcare,BiGRU,classification,,,,-0.10259783520851541,0.23529411764705882,0.4,0.16666666666666666,0.4583333333333333,241,155,38,48,19
UPS,Services,BiGRU,classification,,,,0.0,0.0,0.0,0.0,0.4444444444444444,183,111,27,45,16
UTX,Industrial Goods,BiGRU,classification,,,,0.0,0.5357142857142857,0.36585365853658536,1.0,0.36585365853658536,205,132,32,41,16
V,Financial,BiGRU,classification,,,,0.12238038456119354,0.0625,1.0,0.03225806451612903,0.47368421052631576,345,231,57,57,16
VZ,Technology,BiGRU,classification,,,,0.101574900036674,0.65,0.5,0.9285714285714286,0.5172413793103449,349,233,58,58,16
WFC,Financial,BiGRU,classification,,,,0.0,0.6904761904761905,0.5272727272727272,1.0,0.5272727272727272,332,222,55,55,16
WMT,Services,BiGRU,classification,,,,-0.273867702821707,0.05555555555555555,0.14285714285714285,0.034482758620689655,0.40350877192982454,346,232,57,57,16
XOM,Basic Matierials,BiGRU,classification,,,,-0.0679259594696179,0.06060606060606061,0.3333333333333333,0.03333333333333333,0.5,376,252,62,62,16
