company,sector,model_type,problem_type,sequence_length,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AMGN,Healthcare,BiLSTM,classification,12,15,0.598624045143322,1.1170718061680696,196,49,48
AMGN,Healthcare,BiLSTM,classification,12,16,0.5895856497239094,1.136860735562383,196,49,48
AMGN,Healthcare,BiLSTM,classification,12,17,0.5671217818649448,1.2170163417349056,196,49,48
AMZN,Services,BiLSTM,classification,12,1,0.697781530081057,0.6950369006709048,306,76,76
AMZN,Services,BiLSTM,classification,12,2,0.6712149650442834,0.6957268558050457,306,76,76
AMZN,Services,BiLSTM,classification,12,3,0.6623367936003441,0.6990617199947959,306,76,76
AMZN,Services,BiLSTM,classification,12,4,0.6603643341002121,0.7102106339053104,306,76,76
AMZN,Services,BiLSTM,classification,12,5,0.6609149220722174,0.7240921290297258,306,76,76
AMZN,Services,BiLSTM,classification,12,6,0.6634405220256132,0.7446302897051761,306,76,76
AMZN,Services,BiLSTM,classification,12,7,0.6513286867952035,0.7696467481161419,306,76,76
AMZN,Services,BiLSTM,classification,12,8,0.6612008607465457,0.7925228539266085,306,76,76
AMZN,Services,BiLSTM,classification,12,9,0.6532603436046176,0.8116366769138136,306,76,76
AMZN,Services,BiLSTM,classification,12,10,0.6592916752777848,0.8041947672241613,306,76,76
AMZN,Services,BiLSTM,classification,12,11,0.6440706062161066,0.829848942003752,306,76,76
AMZN,Services,BiLSTM,classification,12,12,0.6470406090511995,0.86040240839908,306,76,76
AMZN,Services,BiLSTM,classification,12,13,0.6167630977879942,0.9109834369860197,306,76,76
AMZN,Services,BiLSTM,classification,12,14,0.6175305177183712,0.9506243373218336,306,76,76
AMZN,Services,BiLSTM,classification,12,15,0.6263998700123207,0.9779806105714095,306,76,76
AMZN,Services,BiLSTM,classification,12,16,0.6198829677369859,0.9359962061831826,306,76,76
BA,Industrial Goods,BiLSTM,classification,12,1,0.696322526694474,0.6919959233357356,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,2,0.6426034199683022,0.6848963178121127,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,3,0.6538421065321466,0.6789632852260883,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,4,0.6251408228942004,0.670875072479248,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,5,0.5999820671657815,0.6607012702868535,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,6,0.5883867932721902,0.6526358586091262,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,7,0.5884401457852096,0.6641989121070275,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,8,0.5822714352494732,0.6957925603939936,211,52,52
