number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
69,0.7071399400154167,2026-02-05 00:25:05.438344,2026-02-05 00:28:12.599300,0 days 00:03:07.160956,16,0.8,20,sector_indicators,256,32,5,0.0,0.0008274379818068449,0.8,7,50,LSTM,1,24,2.3403794230397047e-06,,0.7071399400154167,,,,COMPLETE,0.7071399400154167,,,,
183,0.7071372415270822,2026-02-05 05:30:52.112104,2026-02-05 05:33:30.712264,0 days 00:02:38.600160,32,0.8,20,sector_indicators,256,64,5,0.4,0.0029056972408434607,0.8,10,20,BiGRU,1,24,3.9571593517144216e-05,,0.7071372415270822,,,,COMPLETE,0.7071372415270822,,,,
176,0.7070465976447964,2026-02-05 05:12:01.059299,2026-02-05 05:14:53.370164,0 days 00:02:52.310865,32,0.8,20,sector_indicators,256,64,5,0.4,0.0036326316447917303,0.8,10,30,BiGRU,1,24,1.0166620825012073e-05,,0.7070465976447964,,,,COMPLETE,0.7070465976447964,,,,
111,0.7069894597464274,2026-02-05 02:14:12.517197,2026-02-05 02:17:10.730927,0 days 00:02:58.213730,16,0.7000000000000001,10,sector_text,256,32,5,0.0,0.000851966679643905,0.8,7,30,BiLSTM,1,24,3.365214275950877e-06,,0.7069894597464274,,,,COMPLETE,0.7069894597464274,,,,
92,0.706853017577385,2026-02-05 01:26:53.805275,2026-02-05 01:29:18.719339,0 days 00:02:24.914064,16,0.8,10,sector_text,256,32,5,0.0,0.0015734841550155206,0.8,7,30,BiGRU,1,24,2.18635234679106e-06,,0.706853017577385,,,,COMPLETE,0.706853017577385,,,,
41,0.7064349670745287,2026-02-04 23:31:37.583594,2026-02-04 23:33:15.523707,0 days 00:01:37.940113,32,0.7000000000000001,10,sector_text,256,64,5,0.2,0.000923532112981773,0.8,5,30,BiGRU,1,24,5.729018255548181e-06,,0.7064349670745287,,,,COMPLETE,0.7064349670745287,,,,
141,0.7064305357937185,2026-02-05 03:35:25.674573,2026-02-05 03:38:18.909125,0 days 00:02:53.234552,32,0.8,20,sector_text,256,64,5,0.0,0.0013036123050077899,0.8,7,30,BiGRU,1,24,3.2376766965630856e-06,,0.7064305357937185,,,,COMPLETE,0.7064305357937185,,,,
173,0.706370094285294,2026-02-05 05:03:28.166022,2026-02-05 05:06:19.600437,0 days 00:02:51.434415,32,0.8,20,sector_indicators,256,64,5,0.4,0.00341330507926159,0.8,10,30,BiGRU,1,24,4.633611526486777e-06,,0.706370094285294,,,,COMPLETE,0.706370094285294,,,,
66,0.7063624305608718,2026-02-05 00:17:58.914086,2026-02-05 00:19:27.957945,0 days 00:01:29.043859,16,0.8,10,sector_text,128,32,5,0.0,0.00048803348066674623,0.8,7,30,BiGRU,1,24,3.652536515151845e-06,,0.7063624305608718,,,,COMPLETE,0.7063624305608718,,,,
158,0.7062405019171271,2026-02-05 04:20:43.142151,2026-02-05 04:23:35.988000,0 days 00:02:52.845849,32,0.8,20,sector_indicators,256,64,5,0.0,0.0011156638432741298,0.8,10,30,BiGRU,1,24,6.760391104494139e-06,,0.7062405019171271,,,,COMPLETE,0.7062405019171271,,,,
193,0.7061867717507058,2026-02-05 05:57:14.552890,2026-02-05 05:59:51.100548,0 days 00:02:36.547658,32,0.8,20,sector_indicators,256,64,5,0.4,0.002410912386346436,0.8,10,20,BiGRU,1,24,3.480992892093038e-05,,0.7061867717507058,,,,COMPLETE,0.7061867717507058,,,,
168,0.7061308009684027,2026-02-05 04:47:35.595842,2026-02-05 04:50:29.621408,0 days 00:02:54.025566,32,0.8,20,sector_indicators,256,64,5,0.30000000000000004,0.007031403465687573,0.8,10,30,BiGRU,1,24,1.2740372924248743e-05,,0.7061308009684027,,,,COMPLETE,0.7061308009684027,,,,
149,0.7060019662435598,2026-02-05 03:57:22.131244,2026-02-05 04:00:05.758776,0 days 00:02:43.627532,32,0.8,20,sector_text,256,64,5,0.0,0.0014521366638278908,0.4,5,30,BiGRU,1,24,8.997618084468464e-06,,0.7060019662435598,,,,COMPLETE,0.7060019662435598,,,,
190,0.7056165960324116,2026-02-05 05:49:23.000751,2026-02-05 05:52:02.695524,0 days 00:02:39.694773,32,0.8,20,sector_indicators,256,64,5,0.4,0.002444602842513609,0.8,10,20,BiGRU,1,24,2.390859045099715e-05,,0.7056165960324116,,,,COMPLETE,0.7056165960324116,,,,
196,0.7055219269467466,2026-02-05 06:05:02.771201,2026-02-05 06:07:39.406228,0 days 00:02:36.635027,32,0.8,20,sector_indicators,256,64,5,0.4,0.0032697953467648003,0.8,10,20,BiGRU,1,24,3.329872201394774e-05,,0.7055219269467466,,,,COMPLETE,0.7055219269467466,,,,
192,0.7055029739639064,2026-02-05 05:54:36.705317,2026-02-05 05:57:14.552200,0 days 00:02:37.846883,32,0.8,20,sector_indicators,256,64,5,0.4,0.0028890556527107307,0.8,10,20,BiGRU,1,24,4.656120511459783e-05,,0.7055029739639064,,,,COMPLETE,0.7055029739639064,,,,
144,0.7054992951097311,2026-02-05 03:43:52.832942,2026-02-05 03:46:34.905855,0 days 00:02:42.072913,32,0.8,20,sector_text,256,64,5,0.0,0.0014904569910347033,0.8,7,30,BiGRU,1,24,7.520955014187093e-06,,0.7054992951097311,,,,COMPLETE,0.7054992951097311,,,,
174,0.7053252903813457,2026-02-05 05:06:19.600862,2026-02-05 05:09:07.131363,0 days 00:02:47.530501,32,0.8,20,sector_indicators,256,64,5,0.4,0.0027306290926034115,0.8,10,30,BiGRU,1,24,4.698684137784061e-06,,0.7053252903813457,,,,COMPLETE,0.7053252903813457,,,,
166,0.7050108488963431,2026-02-05 04:43:45.036748,2026-02-05 04:44:43.742474,0 days 00:00:58.705726,32,0.8,20,sector_indicators,64,64,5,0.2,0.004193382752671398,0.8,10,30,BiGRU,1,24,5.164943276428282e-06,,0.7050108488963431,,,,COMPLETE,0.7050108488963431,,,,
