number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
91,0.6749111399593032,2026-02-08 12:25:37.231790,2026-02-08 12:30:52.742897,0 days 00:05:15.511107,16,0.8,15,sector_text,128,64,1,0.4,0.00427086864301049,0.8,7,20,BiGRU,2,36,6.187518596146232e-07,,0.6749111399593032,,,,COMPLETE,0.6749111399593032,,,,
98,0.6748992848378884,2026-02-08 13:01:13.745040,2026-02-08 13:06:03.892621,0 days 00:04:50.147581,16,0.8,15,sector_text,128,64,1,0.4,0.004463520564725215,0.4,7,20,BiGRU,2,36,2.210969452002251e-06,,0.6748992848378884,,,,COMPLETE,0.6748992848378884,,,,
21,0.6748721251879934,2026-02-08 08:37:12.963984,2026-02-08 08:39:46.653505,0 days 00:02:33.689521,32,0.8,10,sector_text_indicators,128,32,1,0.0,0.005268167916131284,0.8,10,30,BiGRU,2,30,5.126636774752827e-07,,0.6748721251879934,,,,COMPLETE,0.6748721251879934,,,,
33,0.6745855450355577,2026-02-08 09:07:41.659736,2026-02-08 09:10:54.838801,0 days 00:03:13.179065,16,0.8,10,sector_text_indicators,128,128,1,0.0,0.006887828716521777,0.8,5,30,BiGRU,2,24,1.5621159622266374e-06,,0.6745855450355577,,,,COMPLETE,0.6745855450355577,,,,
100,0.6744787309386832,2026-02-08 13:08:49.419150,2026-02-08 13:14:24.300089,0 days 00:05:34.880939,16,0.8,20,sector_text,128,64,1,0.4,0.00030330299975027034,0.8,7,20,BiGRU,2,36,2.993007360637342e-06,,0.6744787309386832,,,,COMPLETE,0.6744787309386832,,,,
51,0.6744231231560577,2026-02-08 09:58:38.587893,2026-02-08 10:01:14.328378,0 days 00:02:35.740485,16,0.0,15,sector_indicators,256,128,1,0.30000000000000004,0.004663481106804889,0.4,7,20,GRU,1,36,7.959116386776969e-07,,0.6744231231560577,,,,COMPLETE,0.6744231231560577,,,,
48,0.6743104325198713,2026-02-08 09:52:14.349880,2026-02-08 09:53:15.187757,0 days 00:01:00.837877,16,0.8,15,sector_text,64,128,1,0.4,0.003272373102959757,0.8,7,30,GRU,1,30,2.073493597925284e-07,,0.6743104325198713,,,,COMPLETE,0.6743104325198713,,,,
47,0.6741263534813784,2026-02-08 09:46:13.148882,2026-02-08 09:52:14.349173,0 days 00:06:01.200291,16,0.7000000000000001,15,sector_text,256,128,1,0.4,0.006536291326917784,0.4,7,20,BiLSTM,1,36,0.0009668824495482944,,0.6741263534813784,,,,COMPLETE,0.6741263534813784,,,,
64,0.6740445871859674,2026-02-08 10:46:37.993131,2026-02-08 10:53:02.781895,0 days 00:06:24.788764,16,0.7000000000000001,15,sector_indicators,256,128,1,0.4,0.005780419727984515,0.8,7,30,BiLSTM,1,36,6.920054845957492e-07,,0.6740445871859674,,,,COMPLETE,0.6740445871859674,,,,
73,0.6740185836534075,2026-02-08 11:21:39.227885,2026-02-08 11:26:32.350840,0 days 00:04:53.122955,16,0.8,15,sector_text,128,128,1,0.2,0.004918298337579312,0.8,5,30,BiGRU,2,24,7.123301092742074e-07,,0.6740185836534075,,,,COMPLETE,0.6740185836534075,,,,
102,0.6738363377098793,2026-02-08 13:18:30.466072,2026-02-08 13:23:37.430464,0 days 00:05:06.964392,16,0.0,15,sector_text,128,64,1,0.4,0.005102113204773762,0.4,7,20,BiLSTM,2,36,8.354630442226752e-07,,0.6738363377098793,,,,COMPLETE,0.6738363377098793,,,,
19,0.6737369670940523,2026-02-08 08:32:56.031421,2026-02-08 08:35:36.384132,0 days 00:02:40.352711,32,0.6000000000000001,10,sector_text_indicators,128,32,1,0.2,0.00828773031456028,0.8,10,30,BiGRU,2,30,3.6469064268725447e-06,,0.6737369670940523,,,,COMPLETE,0.6737369670940523,,,,
43,0.6735077929695699,2026-02-08 09:35:13.712040,2026-02-08 09:38:06.007517,0 days 00:02:52.295477,16,0.8,15,sector_text,256,128,1,0.4,0.002152604390831416,0.4,7,20,GRU,1,36,3.1201829298981476e-07,,0.6735077929695699,,,,COMPLETE,0.6735077929695699,,,,
11,0.6734316963488949,2026-02-08 08:22:42.241518,2026-02-08 08:24:04.405854,0 days 00:01:22.164336,64,0.8,10,sector_text_indicators,128,64,1,0.30000000000000004,0.005222547847637768,0.8,7,30,BiGRU,2,18,1.7244318081281041e-06,,0.6734316963488949,,,,COMPLETE,0.6734316963488949,,,,
101,0.673338613130609,2026-02-08 13:14:24.300897,2026-02-08 13:18:30.465264,0 days 00:04:06.164367,16,0.8,15,sector_text,256,64,1,0.4,0.0034162911707573272,0.4,7,20,GRU,2,36,3.591072923858114e-07,,0.673338613130609,,,,COMPLETE,0.673338613130609,,,,
107,0.673305497105496,2026-02-08 13:42:29.190239,2026-02-08 13:46:01.770213,0 days 00:03:32.579974,16,0.8,15,sector,128,64,1,0.4,0.007403670262447887,0.8,7,30,GRU,2,36,4.957778771537501e-07,,0.673305497105496,,,,COMPLETE,0.673305497105496,,,,
87,0.6732964149876387,2026-02-08 12:12:24.274820,2026-02-08 12:17:25.216203,0 days 00:05:00.941383,16,0.6000000000000001,15,sector_text,256,64,1,0.4,0.0024252369760062284,0.8,7,20,BiGRU,1,36,4.3148500408358785e-07,,0.6732964149876387,,,,COMPLETE,0.6732964149876387,,,,
71,0.6732356676078711,2026-02-08 11:14:14.156110,2026-02-08 11:17:34.539967,0 days 00:03:20.383857,16,0.8,15,sector_indicators,128,128,1,0.1,0.006426681958331812,0.8,5,30,GRU,2,30,2.344320855364449e-06,,0.6732356676078711,,,,COMPLETE,0.6732356676078711,,,,
118,0.6731771140878222,2026-02-08 14:36:41.915031,2026-02-08 14:44:16.372989,0 days 00:07:34.457958,64,0.8,15,sector_indicators,256,64,1,0.4,0.00779047346286216,0.8,7,50,BiLSTM,2,36,1.0496990242352193e-06,,0.6731771140878222,,,,COMPLETE,0.6731771140878222,,,,
