company,sector,model_type,problem_type,sequence_length,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AMGN,Healthcare,LSTM,classification,12,15,0.6321522167750767,0.818615239493701,196,49,48
AMGN,Healthcare,LSTM,classification,12,16,0.6185048477990287,0.8431138505741042,196,49,48
AMZN,Services,LSTM,classification,12,1,0.7014225296724855,0.6915881100453829,306,76,76
AMZN,Services,LSTM,classification,12,2,0.6807679487209694,0.6912024146632144,306,76,76
AMZN,Services,LSTM,classification,12,3,0.668652141405866,0.6910588396222967,306,76,76
AMZN,Services,LSTM,classification,12,4,0.6664363005582024,0.6940809080475255,306,76,76
AMZN,Services,LSTM,classification,12,5,0.6792367661700529,0.7009893185213992,306,76,76
AMZN,Services,LSTM,classification,12,6,0.6662450288635453,0.7123650092827646,306,76,76
AMZN,Services,LSTM,classification,12,7,0.6541475528985067,0.7558553061987224,306,76,76
AMZN,Services,LSTM,classification,12,8,0.6631203395089292,0.8068753261315195,306,76,76
AMZN,Services,LSTM,classification,12,9,0.6653239306281594,0.840823515465385,306,76,76
AMZN,Services,LSTM,classification,12,10,0.6551883520643695,0.8526257935323214,306,76,76
AMZN,Services,LSTM,classification,12,11,0.6478429499015309,0.874745271707836,306,76,76
AMZN,Services,LSTM,classification,12,12,0.6555766245118932,0.8724696667570817,306,76,76
AMZN,Services,LSTM,classification,12,13,0.6501672170520608,0.8485515462724786,306,76,76
AMZN,Services,LSTM,classification,12,14,0.6447131458450767,0.8358843169714275,306,76,76
AMZN,Services,LSTM,classification,12,15,0.6432582926906012,0.8523931220958108,306,76,76
AMZN,Services,LSTM,classification,12,16,0.6452660182722254,0.866836827052267,306,76,76
AMZN,Services,LSTM,classification,12,17,0.6435566891252605,0.8801696959294771,306,76,76
AMZN,Services,LSTM,classification,12,18,0.6404224848435596,0.8798717354473314,306,76,76
BA,Industrial Goods,LSTM,classification,12,1,0.7053850086944363,0.6965942657910861,211,52,52
BA,Industrial Goods,LSTM,classification,12,2,0.6488478799566838,0.6915578888012812,211,52,52
BA,Industrial Goods,LSTM,classification,12,3,0.6505105811837725,0.6860263301776006,211,52,52
BA,Industrial Goods,LSTM,classification,12,4,0.6411235832490062,0.6786560920568613,211,52,52
BA,Industrial Goods,LSTM,classification,12,5,0.6367154033828121,0.6697082015184256,211,52,52
BA,Industrial Goods,LSTM,classification,12,6,0.6142670622369124,0.6597181421059829,211,52,52
BA,Industrial Goods,LSTM,classification,12,7,0.5991170454364252,0.6548398916537945,211,52,52
BA,Industrial Goods,LSTM,classification,12,8,0.6084828292024079,0.6610772059513972,211,52,52
BA,Industrial Goods,LSTM,classification,12,9,0.5933530686590909,0.6877521276473999,211,52,52
BA,Industrial Goods,LSTM,classification,12,10,0.5860688482980593,0.7392021601016705,211,52,52
BA,Industrial Goods,LSTM,classification,12,11,0.5707234065114605,0.7651222760860736,211,52,52
BA,Industrial Goods,LSTM,classification,12,12,0.5693387824212205,0.8317975814525898,211,52,52
BA,Industrial Goods,LSTM,classification,12,13,0.5638423282388262,0.85207200050354,211,52,52
BA,Industrial Goods,LSTM,classification,12,14,0.5674621356889535,0.8896206342256986,211,52,52
BA,Industrial Goods,LSTM,classification,12,15,0.5561199099249184,0.9574383864035974,211,52,52
BA,Industrial Goods,LSTM,classification,12,16,0.5369051182157055,0.9853212466606727,211,52,52
BA,Industrial Goods,LSTM,classification,12,17,0.5345897772018379,1.0208870355899518,211,52,52
BA,Industrial Goods,LSTM,classification,12,18,0.5140753734450769,1.04403922191033,211,52,52
BA,Industrial Goods,LSTM,classification,12,19,0.5502102502149429,1.0329302641061635,211,52,52
BA,Industrial Goods,LSTM,classification,12,20,0.5090980806621895,1.0251026061865,211,52,52
BA,Industrial Goods,LSTM,classification,12,21,0.5198722404043822,1.0323542723288903,211,52,52
BA,Industrial Goods,LSTM,classification,12,22,0.5065403350439117,1.1017395349649282,211,52,52
BABA,Services,LSTM,classification,12,1,0.6980960532358498,0.6951394004699512,157,39,49
BABA,Services,LSTM,classification,12,2,0.6523285200641413,0.6956444902297778,157,39,49
BABA,Services,LSTM,classification,12,3,0.6484914414442269,0.6964766459587293,157,39,49
BABA,Services,LSTM,classification,12,4,0.6282385549727519,0.6983456779748966,157,39,49
BABA,Services,LSTM,classification,12,5,0.612570977135069,0.7016626718716744,157,39,49
BABA,Services,LSTM,classification,12,6,0.6123777104031508,0.7084556084412795,157,39,49
BABA,Services,LSTM,classification,12,7,0.5903952668426903,0.7191011569438837,157,39,49
BABA,Services,LSTM,classification,12,8,0.5642063249448303,0.7396254417223808,157,39,49
BABA,Services,LSTM,classification,12,9,0.577672820182363,0.7732647015498235,157,39,49
BABA,Services,LSTM,classification,12,10,0.5699388327871918,0.8160000076660743,157,39,49
BABA,Services,LSTM,classification,12,11,0.5876453545442812,0.8770431998448495,157,39,49
BABA,Services,LSTM,classification,12,12,0.5687609128891282,0.9514845808347067,157,39,49
BABA,Services,LSTM,classification,12,13,0.5555338198971597,1.0468709071477253,157,39,49
BABA,Services,LSTM,classification,12,14,0.5702220486227874,1.1681532156773102,157,39,49
BABA,Services,LSTM,classification,12,15,0.5475581762896982,1.292677986316192,157,39,49
BABA,Services,LSTM,classification,12,16,0.5551054323934446,1.4130740807606623,157,39,49
BAC,Financial,LSTM,classification,12,1,0.707722760422129,0.6909293121015522,284,71,70
BAC,Financial,LSTM,classification,12,2,0.6796436956231023,0.6918330377256366,284,71,70
BAC,Financial,LSTM,classification,12,3,0.6817146674008436,0.6924894065924094,284,71,70
