number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
96,-0.011283377790130892,2026-03-12 00:30:49.299438,2026-03-12 00:32:54.719184,0 days 00:02:05.419746,128,0.2,0.00622340459392097,10,meta_err_emotion,64,128,1,0.2205480412093807,0.4,4.846086474954621e-06,0.8,10,50,LSTM,2,10,9.79637900450529e-07,COMPLETE
48,-0.011286674358096691,2026-03-11 22:16:55.483587,2026-03-11 22:19:11.827607,0 days 00:02:16.344020,128,0.4,0.009926483541627592,15,meta_emotion,256,128,1,0.15472833039075867,0.1,1.2303895438194268e-05,0.8,7,30,LSTM,1,15,1.1791864975465439e-07,COMPLETE
87,-0.011289555668223721,2026-03-12 00:02:58.335187,2026-03-12 00:05:44.913771,0 days 00:02:46.578584,64,0.2,0.005532591688232797,10,meta_err_stance,256,128,1,0.16120792467303607,0.1,3.716190269209322e-05,0.8,10,30,LSTM,2,10,5.242139016483888e-07,COMPLETE
62,-0.011295176489708082,2026-03-11 22:59:03.333004,2026-03-11 23:01:41.088856,0 days 00:02:37.755852,128,0.2,0.009806104928970539,15,meta_err_unified_emotion,256,128,1,0.22871493845343763,0.2,2.7092875193678496e-05,0.8,7,30,LSTM,2,10,5.898487875730154e-07,COMPLETE
86,-0.01129864944618205,2026-03-12 00:00:18.446251,2026-03-12 00:02:58.334157,0 days 00:02:39.887906,64,0.1,0.007769045370499592,10,meta_err_stance,256,128,1,0.10045567689310322,0.1,2.926637329087802e-05,0.8,10,30,LSTM,2,5,2.769048018958633e-07,COMPLETE
85,-0.01129965802428497,2026-03-11 23:57:42.943611,2026-03-12 00:00:18.445277,0 days 00:02:35.501666,64,0.0,0.005126052577416645,10,meta_err_stance,128,128,1,0.2060094973623342,0.30000000000000004,8.257966092036462e-06,0.8,10,30,LSTM,2,5,6.427766029172121e-07,COMPLETE
79,-0.011299768909855235,2026-03-11 23:43:57.284743,2026-03-11 23:46:09.737993,0 days 00:02:12.453250,128,0.6000000000000001,0.006370351091481229,10,meta_err_all_nlp,256,128,1,0.2621194950336907,0.1,6.609776781345309e-06,0.8,7,30,LSTM,2,20,1.254696428148434e-07,COMPLETE
73,-0.011300919939356655,2026-03-11 23:28:57.310803,2026-03-11 23:31:14.909023,0 days 00:02:17.598220,128,0.2,0.009554006504333626,10,meta_err_unified_emotion,256,128,1,0.30398663690375954,0.2,0.00010632522595202752,0.8,7,30,BiLSTM,2,5,3.549363252200974e-07,COMPLETE
35,-0.011303695188867903,2026-03-11 21:32:32.611220,2026-03-11 21:35:18.701005,0 days 00:02:46.089785,128,0.2,0.009589211128585854,20,meta_err_stance,256,128,1,0.4259878504776359,0.1,2.5573248064663257e-05,0.8,7,30,LSTM,1,10,4.971388395982018e-07,COMPLETE
94,-0.011303948039110376,2026-03-12 00:22:35.045352,2026-03-12 00:24:48.197993,0 days 00:02:13.152641,128,0.2,0.004232609505194044,10,meta_err_emotion,128,128,1,0.4015943391382245,0.4,1.3248778694462099e-05,0.8,10,30,LSTM,2,10,2.264470916878796e-06,COMPLETE
72,-0.01130499885549328,2026-03-11 23:26:50.594853,2026-03-11 23:28:57.309884,0 days 00:02:06.715031,128,0.2,0.005127679670833184,10,meta_finbert,256,128,1,0.926711543086839,0.2,4.22011370127129e-05,0.4,10,20,LSTM,2,5,3.4038073069588504e-07,COMPLETE
99,-0.011310561833903587,2026-03-12 00:37:08.901416,2026-03-12 00:39:17.408091,0 days 00:02:08.506675,128,0.2,0.005922255511952007,10,meta_err_emotion,64,128,1,0.27587602756345664,0.30000000000000004,3.911916701599159e-06,0.8,10,50,LSTM,2,10,2.097236839983896e-07,COMPLETE
59,-0.011313292694465505,2026-03-11 22:50:16.985098,2026-03-11 22:53:12.096291,0 days 00:02:55.111193,64,0.30000000000000004,0.009390742894549924,15,meta_emotion,256,128,1,0.503547467460764,0.2,3.2836807121618387e-06,0.8,7,30,LSTM,1,15,1.2303407954813986e-07,COMPLETE
90,-0.011313888304220924,2026-03-12 00:11:06.018351,2026-03-12 00:13:37.508120,0 days 00:02:31.489769,128,0.1,0.0068759112840988314,15,meta_emotion,64,128,1,0.19380114968820505,0.2,0.000173134381277885,0.8,7,30,LSTM,2,10,3.7615329986962347e-07,COMPLETE
56,-0.01131407603571075,2026-03-11 22:42:04.043794,2026-03-11 22:44:59.329035,0 days 00:02:55.285241,128,0.4,0.00963471122865538,20,meta_finbert,256,64,1,0.4633299038641979,0.1,5.3350189936719485e-05,0.8,10,30,LSTM,2,10,1.1493447588516233e-06,COMPLETE
68,-0.011314682690017206,2026-03-11 23:16:08.421816,2026-03-11 23:18:51.354270,0 days 00:02:42.932454,64,0.0,0.0020255614174744226,10,meta_emotion,128,128,1,0.11471863134155023,0.2,8.088242186000026e-06,0.4,10,30,LSTM,2,5,2.3062972123617035e-07,COMPLETE
