number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
82,-0.011634499533700745,2026-03-03 07:51:06.881315,2026-03-03 07:57:47.117498,0 days 00:06:40.236183,64,0.7000000000000001,0.009858975050940784,15,sector_finbert,64,128,1,1.0161695591730888,0.4,7.254806991902418e-06,0.4,10,30,LSTM,2,15,7.496280918422146e-07,COMPLETE
16,-0.011637131255501497,2026-03-02 23:56:46.615242,2026-03-03 00:03:22.205346,0 days 00:06:35.590104,64,0.1,0.0016565089633240582,15,sector,64,128,1,1.8510730528270165,0.4,1.1792600938166046e-06,0.4,10,20,BiLSTM,2,10,1.021921770452223e-05,COMPLETE
99,-0.011637878097621596,2026-03-03 09:58:54.070308,2026-03-03 10:05:31.022598,0 days 00:06:36.952290,64,0.4,0.006115175596353838,15,sector_unified_emotion,64,32,1,0.2790832949051055,0.2,3.0709893814371137e-06,0.4,7,30,BiLSTM,1,15,1.7183438952614263e-07,COMPLETE
53,-0.011640094525689107,2026-03-03 04:33:19.304044,2026-03-03 04:39:01.928788,0 days 00:05:42.624744,64,0.8,0.008220272173983346,10,sector_finbert,256,64,1,0.6299229447123581,0.4,2.3409535201498898e-06,0.8,10,20,GRU,1,10,1.3161979934370492e-07,COMPLETE
41,-0.01164155314983949,2026-03-03 03:06:35.115318,2026-03-03 03:13:37.547716,0 days 00:07:02.432398,64,0.7000000000000001,0.0052477076564315505,15,sector_emotion,64,64,1,1.0041139644617734,0.2,3.531746371361963e-06,0.4,10,50,BiLSTM,2,15,2.2484507801336167e-07,COMPLETE
73,-0.011642787917096624,2026-03-03 06:44:13.373121,2026-03-03 06:50:19.208743,0 days 00:06:05.835622,64,0.8,0.007216105000996486,10,sector_sentiment,256,32,1,1.0203243393842414,0.2,2.4916138957984803e-06,0.8,10,20,LSTM,2,10,0.0001332710833088545,COMPLETE
18,-0.011645726404185324,2026-03-03 00:11:13.610639,2026-03-03 00:20:50.626478,0 days 00:09:37.015839,16,0.0,0.0053806261451393635,10,sector,64,128,1,1.947487072895453,0.4,2.7745698464507034e-06,0.4,5,20,BiLSTM,2,10,1.4207794719995654e-06,COMPLETE
91,-0.01164611032129565,2026-03-03 08:59:33.458094,2026-03-03 09:06:59.905468,0 days 00:07:26.447374,64,0.1,0.005490625233930816,15,sector_sentiment,64,64,1,0.5414139349156177,0.30000000000000004,0.00010354937241958776,0.8,10,30,BiLSTM,2,15,9.215146556096357e-07,COMPLETE
7,-0.011646337205315958,2026-03-02 22:42:25.221315,2026-03-02 22:49:31.942841,0 days 00:07:06.721526,64,0.30000000000000004,0.0007845638134226596,15,sector,64,128,1,0.9340456993407086,0.4,7.299348683062316e-06,0.8,10,30,BiLSTM,2,5,3.1014294272127416e-05,COMPLETE
29,-0.011650872599686252,2026-03-03 01:37:26.860151,2026-03-03 01:44:08.169057,0 days 00:06:41.308906,64,0.0,0.0037473984908651795,15,sector,64,128,1,1.2018397720782121,0.30000000000000004,2.2006862303480955e-05,0.8,5,50,LSTM,2,10,1.1524015320118183e-07,COMPLETE
56,-0.011651339890883907,2026-03-03 04:51:47.310090,2026-03-03 04:58:52.868234,0 days 00:07:05.558144,64,0.7000000000000001,0.0017612740784421154,15,sector_emotion,256,32,1,0.4445762514894026,0.4,6.727571257692524e-06,0.8,7,20,BiLSTM,2,20,4.045973451728655e-07,COMPLETE
92,-0.011657262246661927,2026-03-03 09:06:59.906274,2026-03-03 09:13:09.855515,0 days 00:06:09.949241,64,0.6000000000000001,0.009076061945803722,10,sector_sentiment,64,32,1,0.8192079701862446,0.2,1.5863144237890754e-06,0.4,5,30,LSTM,2,15,2.3691095083521358e-07,COMPLETE
37,-0.011658240213978705,2026-03-03 02:38:56.888395,2026-03-03 02:46:17.532759,0 days 00:07:20.644364,64,0.2,0.0010283839809841376,15,sector_sentiment,64,32,1,0.6445791472194695,0.4,3.9633007774425795e-05,0.4,7,50,BiLSTM,2,15,4.42196626030245e-07,COMPLETE
36,-0.01165842372552521,2026-03-03 02:32:40.808786,2026-03-03 02:38:56.887621,0 days 00:06:16.078835,64,0.8,0.004269784455975308,10,sector_sentiment,64,32,1,1.289145958808691,0.30000000000000004,1.0956334406994727e-05,0.8,10,50,BiLSTM,2,10,1.8855076617765125e-06,COMPLETE
2,-0.011659051690551016,2026-03-02 22:05:41.457364,2026-03-02 22:11:51.107239,0 days 00:06:09.649875,64,0.0,0.008036720768991144,15,sector_emotion,256,128,1,1.7557751213566637,0.2,1.808939009276714e-05,0.4,5,20,GRU,2,20,1.082138291061398e-05,COMPLETE
83,-0.011660565363190078,2026-03-03 07:57:47.118662,2026-03-03 08:07:41.839042,0 days 00:09:54.720380,16,0.6000000000000001,0.00866761977563443,10,sector_emotion,128,32,1,0.46111540298152587,0.2,1.3873002210068172e-06,0.4,10,30,BiLSTM,2,15,1.32534145123462e-07,COMPLETE
