number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc
82,0.08345334046455413,2026-03-09 01:44:28.098157,2026-03-09 01:55:29.096997,0 days 00:11:00.998840,32,2,0.8,0.006370714710962514,20,base,64,32,0.36179270037530653,0.30000000000000004,0.02556980029548638,0.004762057636116771,0.8,7,20,BiLSTM,6,1,coral,5,3.211604098797362,1.1039080281817384,9,0.8897556079888667,0.2850007331050507,21,2.124224681458799e-05,0.5233477011494253,0.11230353357545483,0.08345334046455413,0.16918103448275862,COMPLETE,0.11230353357545483,0.16918103448275862,0.5233477011494253,0.08345334046455413
68,0.08058260079969806,2026-03-08 15:50:41.645576,2026-03-08 16:42:28.359507,0 days 00:51:46.713931,32,6,0.8,0.00877754554947803,20,base,64,64,0.2959550962617403,0.4,0.08913022043772842,0.0002604774656597365,0.4,7,50,BiLSTM,6,2,coral,5,3.4849101908980877,1.1028656519181181,21,0.714361534453157,0.366503014136331,21,2.5336308661434942e-05,0.5199353448275862,0.10595219546298006,0.08058260079969806,0.15140086206896552,COMPLETE,0.10595219546298006,0.15140086206896552,0.5199353448275862,0.08058260079969806
67,0.0790711734626238,2026-03-08 15:01:09.025799,2026-03-08 15:50:41.644701,0 days 00:49:32.618902,32,6,0.6000000000000001,0.007791572665155763,20,base,64,64,0.48907252027201564,0.4,0.07617015091420502,0.001410790295174016,0.8,7,50,BiLSTM,6,2,coral,5,2.9000910393560955,0.9679583743440073,21,0.864755351875754,0.2656297207605789,21,8.62522842067868e-05,0.5294540229885057,0.11248757274990331,0.0790711734626238,0.16469109195402298,COMPLETE,0.11248757274990331,0.16469109195402298,0.5294540229885057,0.0790711734626238
7,0.07826940561023937,2026-03-06 22:03:39.791756,2026-03-06 22:39:57.856912,0 days 00:36:18.065156,32,6,0.7000000000000001,0.009746046323560412,15,base,64,64,1.7316920573120174,0.4,0.03636458025062379,0.00021800772448610594,0.8,5,50,BiLSTM,6,1,coral,5,2.411018668458099,1.014332059230079,15,0.8850936670036504,0.13383289848104954,21,1.178168708267663e-06,0.5219109195402298,0.11021008981184484,0.07826940561023937,0.16056034482758622,COMPLETE,0.11021008981184484,0.16056034482758622,0.5219109195402298,0.07826940561023937
35,0.07806684384921446,2026-03-07 15:25:04.935205,2026-03-07 16:39:07.819679,0 days 01:14:02.884474,32,6,0.5,0.007540826799390629,10,base,256,32,1.9072672916826863,0.30000000000000004,0.009570588421429741,0.00043139335345638,0.8,5,30,BiLSTM,6,1,coral,15,2.217878827618467,0.9001594205492254,21,0.8304756014412796,0.28417759793161207,41,7.456637963388877e-05,0.5244252873563219,0.10604411699323066,0.07806684384921446,0.15948275862068967,COMPLETE,0.10604411699323066,0.15948275862068967,0.5244252873563219,0.07806684384921446
57,0.07710623945373356,2026-03-08 09:17:22.681931,2026-03-08 09:49:16.300665,0 days 00:31:53.618734,64,6,0.6000000000000001,0.005779988636589609,10,base,256,32,1.0420826090232596,0.2,0.020506620557288108,0.00011997768446928315,0.8,5,20,BiLSTM,6,1,coral,15,2.2074480270166252,0.9295378072278624,15,0.8670694211709096,0.3735990527104399,21,0.0001588842387856423,0.5213721264367817,0.10463349316842531,0.07710623945373356,0.1533764367816092,COMPLETE,0.10463349316842531,0.1533764367816092,0.5213721264367817,0.07710623945373356
79,0.07656340106680382,2026-03-09 00:06:58.751942,2026-03-09 00:32:09.654911,0 days 00:25:10.902969,32,6,0.7000000000000001,0.007578438312246154,20,base,64,32,0.3370963650579094,0.30000000000000004,0.04609305690672922,0.004349677134677613,0.8,7,50,BiLSTM,6,1,coral,10,3.0523347085665926,0.9326202254805929,9,0.7908861697993486,0.2173994074177355,21,3.041856150552496e-05,0.5174209770114943,0.0962492160205798,0.07656340106680382,0.14619252873563218,COMPLETE,0.0962492160205798,0.14619252873563218,0.5174209770114943,0.07656340106680382
11,0.07452061939949711,2026-03-06 23:49:50.464146,2026-03-07 00:23:16.077628,0 days 00:33:25.613482,32,6,0.5,0.006190453909519621,15,base,64,64,1.0223596793015632,0.30000000000000004,0.05461664351325543,0.00041593635613363126,0.8,5,20,BiLSTM,6,1,coral,10,2.2606655355503644,1.1260085530597925,15,0.8106361437772898,0.14948584996777198,21,2.5526514725967524e-06,0.5226293103448276,0.10415638553363711,0.07452061939949711,0.1528376436781609,COMPLETE,0.10415638553363711,0.1528376436781609,0.5226293103448276,0.07452061939949711
90,0.07433451741978926,2026-03-09 05:47:22.580904,2026-03-09 06:29:07.152978,0 days 00:41:44.572074,32,6,0.8,0.008073985473170304,20,base,64,32,0.14224498420327875,0.4,0.04727833143141375,0.0034739805601843817,0.8,7,20,BiLSTM,6,1,coral,10,2.85417861023507,0.6770603426256311,21,0.7302943518680093,0.20333110832825166,21,2.9091995747111308e-05,0.5226293103448276,0.11475691581223987,0.07433451741978926,0.1747485632183908,COMPLETE,0.11475691581223987,0.1747485632183908,0.5226293103448276,0.07433451741978926
16,0.07359503565520635,2026-03-07 02:48:55.085967,2026-03-07 03:26:55.396876,0 days 00:38:00.310909,32,6,0.7000000000000001,0.007936686842073375,15,base,64,64,0.18925807912582182,0.30000000000000004,0.04002657780297719,3.9826844023225017e-05,0.8,5,50,BiLSTM,6,1,coral,10,2.479395392790344,1.1818207157119698,15,0.8382980652367659,0.3671764595577319,21,1.3577442780345082e-06,0.5188577586206896,0.10285995481091988,0.07359503565520635,0.16774425287356323,COMPLETE,0.10285995481091988,0.16774425287356323,0.5188577586206896,0.07359503565520635
49,0.07321265895246275,2026-03-08 02:52:39.466505,2026-03-08 03:51:54.160008,0 days 00:59:14.693503,64,6,0.6000000000000001,0.008942143895315571,10,base,256,128,1.426900273508849,0.30000000000000004,0.003732095632875866,5.990153430625816e-05,0.8,5,20,BiLSTM,6,1,coral,15,2.1099918964072537,0.920544309494779,15,0.7933498794128914,0.36585446967015034,41,1.839061570031182e-05,0.5208333333333334,0.10218586069341826,0.07321265895246275,0.15499281609195403,COMPLETE,0.10218586069341826,0.15499281609195403,0.5208333333333334,0.07321265895246275
91,0.07180819049001748,2026-03-09 06:29:07.153656,2026-03-09 07:10:30.837691,0 days 00:41:23.684035,32,6,0.7000000000000001,0.009519601078996884,15,base,64,32,0.46136845283989125,0.4,0.03850654143375739,0.004623826557110088,0.8,7,20,BiLSTM,6,1,coral,10,1.973141394967488,0.6334483013528042,21,0.8136613517710339,0.18455954963902962,21,9.535015097818282e-06,0.5199353448275862,0.11191900328453697,0.07180819049001748,0.1684626436781609,COMPLETE,0.11191900328453697,0.1684626436781609,0.5199353448275862,0.07180819049001748
88,0.0713556120143776,2026-03-09 04:21:47.177284,2026-03-09 05:05:20.352569,0 days 00:43:33.175285,32,6,0.6000000000000001,0.007873511821144964,20,base,64,64,0.7859356611584558,0.4,0.08041351638445338,0.001609045957469523,0.8,7,50,LSTM,6,2,coral,5,2.881150793355657,0.8480964097423761,21,0.8797836914363087,0.21478171606777705,21,4.0636089553059e-05,0.5217313218390804,0.10888637357396777,0.0713556120143776,0.1584051724137931,COMPLETE,0.10888637357396777,0.1584051724137931,0.5217313218390804,0.0713556120143776
98,0.07083441843395619,2026-03-09 09:21:25.466225,2026-03-09 10:32:18.115232,0 days 01:10:52.649007,32,6,0.7000000000000001,0.006255277301152628,20,base,64,32,0.11795333321866193,0.30000000000000004,0.03429203217632893,0.001805297162101682,0.8,7,20,BiLSTM,6,1,coral,15,2.602383530477935,0.5481762870709387,21,0.6494552990945318,0.17679198212106723,31,0.0001016150367699496,0.5172413793103449,0.10839106190197595,0.07083441843395619,0.1654094827586207,COMPLETE,0.10839106190197595,0.1654094827586207,0.5172413793103449,0.07083441843395619
52,0.07058670562717125,2026-03-08 05:51:23.454784,2026-03-08 06:26:39.899982,0 days 00:35:16.445198,32,6,0.4,0.007942200723884752,15,base,64,64,0.6844904867119942,0.4,0.06703322059987835,0.0011959838366502374,0.8,5,50,BiLSTM,6,2,coral,5,2.4796048105129733,1.1951042947163382,15,0.8490228534366482,0.18420300246079702,21,2.708578464389588e-05,0.5244252873563219,0.11841659075922893,0.07058670562717125,0.16109913793103448,COMPLETE,0.11841659075922893,0.16109913793103448,0.5244252873563219,0.07058670562717125
17,0.07039309733794893,2026-03-07 03:26:55.397640,2026-03-07 04:50:49.082137,0 days 01:23:53.684497,32,6,0.8,0.007299764718560579,10,base,64,64,1.5896480130443462,0.30000000000000004,0.018494186965019397,0.00038694391385256854,0.8,5,50,BiLSTM,6,1,coral,15,1.6848131167386193,0.9194891309674057,21,0.7365058452940854,0.16276499211385687,41,1.7773167071834334e-05,0.5165229885057471,0.10771197399276433,0.07039309733794893,0.16738505747126436,COMPLETE,0.10771197399276433,0.16738505747126436,0.5165229885057471,0.07039309733794893
43,0.07008560237255676,2026-03-07 22:47:25.747096,2026-03-07 23:09:01.613093,0 days 00:21:35.865997,32,6,0.2,0.004054467167757307,15,base,64,32,1.26065890912019,0.4,0.058857951090415375,0.002163585223044077,0.8,5,20,BiLSTM,6,1,coral,5,1.8025881838843416,1.1105511097456098,9,0.7492538048968568,0.16058603394379758,21,2.03284235727145e-06,0.5163433908045977,0.10891809345098397,0.07008560237255676,0.16415229885057472,COMPLETE,0.10891809345098397,0.16415229885057472,0.5163433908045977,0.07008560237255676
