number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc,params_horizon_steps
58,0.1605443730400045,2026-03-05 06:25:27.627898,2026-03-05 07:57:36.126382,0 days 01:32:08.498484,32,6,0.4,0.0079685524126868,20,base,256,64,1.766718490455763,0.4,0.0967304115191157,0.0012004542091612,0.8,7,30,BiGRU,6,2,corn,15,2.2955430534715706,0.4774996548589456,21,0.7297719572855228,0.3927010264996659,41,7.990027848207863e-05,0.5316091954022989,0.122598042661951,0.1605443730400045,0.2092313218390804,COMPLETE,0.122598042661951,0.2092313218390804,0.5316091954022989,0.1605443730400045,5
93,0.1568840830442817,2026-03-06 09:35:50.730714,2026-03-06 10:35:18.383688,0 days 00:59:27.652974,32,4,0.6000000000000001,0.0055953689201584,20,base,256,64,1.4889892550725612,0.2,0.027906065325855,0.0018699259587672,0.8,10,30,BiGRU,6,1,corn,20,3.455452846197179,0.7882093809115628,21,0.6451819178731346,0.3983961850953729,41,0.0003406278877182,0.5344827586206896,0.1230559745842351,0.1568840830442817,0.2108477011494252,COMPLETE,0.1230559745842351,0.2108477011494252,0.5344827586206896,0.1568840830442817,5
6,0.1530340685807396,2026-03-03 23:04:25.029164,2026-03-03 23:25:34.996543,0 days 00:21:09.967379,32,4,0.6000000000000001,0.0059901805875799,15,base,64,64,1.691284345248105,0.3,0.099200959748367,0.004149822313,0.8,10,30,BiLSTM,6,1,corn,20,2.2537699400250135,0.7866344433686421,9,0.6106964329868544,0.3004707628589493,31,0.0003660677892657,0.5283764367816092,0.1244407032291044,0.1530340685807396,0.2045617816091954,COMPLETE,0.1244407032291044,0.2045617816091954,0.5283764367816092,0.1530340685807396,5
79,0.1517122104400901,2026-03-05 23:00:02.718807,2026-03-05 23:40:36.678434,0 days 00:40:33.959627,32,6,0.5,0.0077073472797414,20,base,256,32,1.430286490848944,0.3,0.0626568306104948,0.0040319723408455,0.8,7,30,BiLSTM,6,1,corn,20,2.532198436871915,0.4825882962950221,9,0.6681606927948369,0.3233703562831743,41,2.844604435261545e-05,0.5359195402298851,0.1303293637337498,0.1517122104400901,0.2097701149425287,COMPLETE,0.1303293637337498,0.2097701149425287,0.5359195402298851,0.1517122104400901,5
91,0.1459661695695273,2026-03-06 08:03:04.254895,2026-03-06 09:03:05.947478,0 days 01:00:01.692583,32,4,0.5,0.0067107560233742,20,base,256,64,1.4648053023511227,0.3,0.0468949109710513,0.0004911024146789,0.4,10,30,BiGRU,6,1,corn,20,2.465797402744283,0.4808570753024591,21,0.6913612832173008,0.3982380960370438,41,0.0005622254870907,0.5233477011494253,0.1217880103954123,0.1459661695695273,0.2054597701149425,COMPLETE,0.1217880103954123,0.2054597701149425,0.5233477011494253,0.1459661695695273,5
80,0.1453759168866631,2026-03-05 23:40:36.679278,2026-03-06 00:21:02.280363,0 days 00:40:25.601085,32,6,0.3,0.0085535605442279,20,base,256,32,1.1259840577043945,0.2,0.0730856087481537,0.0028468733901069,0.4,7,30,BiLSTM,6,1,corn,20,3.3547108554465743,0.3219784022978278,9,0.6943033359533195,0.2531353435063504,41,0.0007625281454992,0.529992816091954,0.1215630564898216,0.1453759168866631,0.2085129310344827,COMPLETE,0.1215630564898216,0.2085129310344827,0.529992816091954,0.1453759168866631,5
76,0.1434433088880832,2026-03-05 21:19:32.639783,2026-03-05 21:59:14.350783,0 days 00:39:41.711000,32,6,0.4,0.0083139333150724,15,base,256,64,1.9801399666395856,0.3,0.0872118244700386,0.0031690668681052,0.8,5,50,BiLSTM,6,1,corn,20,2.0451927446585163,0.2187620399894686,9,0.7363429614164408,0.3421695320368627,41,5.404004665378316e-05,0.5242456896551724,0.127837177759848,0.1434433088880832,0.2144396551724137,COMPLETE,0.127837177759848,0.2144396551724137,0.5242456896551724,0.1434433088880832,5
41,0.1423478982273499,2026-03-04 16:58:10.702566,2026-03-04 17:59:30.856521,0 days 01:01:20.153955,32,4,0.5,0.0063520836621902,15,base,256,128,1.5453704332034617,0.3,0.0916519452043385,0.0029718213165577,0.8,5,30,BiGRU,6,1,corn,20,2.4554114886820173,0.3763471226616797,21,0.748738062183753,0.3705010023598664,41,0.0001889622234454,0.5317887931034483,0.1251944162238798,0.1423478982273499,0.2124640804597701,COMPLETE,0.1251944162238798,0.2124640804597701,0.5317887931034483,0.1423478982273499,5
48,0.1421799795063511,2026-03-04 23:31:45.865240,2026-03-05 00:17:42.214456,0 days 00:45:56.349216,32,4,0.5,0.0047339407123055,15,base,256,64,1.354764851647822,0.4,0.0689444318980529,0.0001989533631553,0.8,5,50,BiGRU,6,1,corn,15,1.6402107170816342,0.2749970416360208,15,0.6595930045846645,0.3294670553615993,41,0.0002488327783805,0.5287356321839081,0.1297488257426171,0.1421799795063511,0.2137212643678161,COMPLETE,0.1297488257426171,0.2137212643678161,0.5287356321839081,0.1421799795063511,5
38,0.1421083221286561,2026-03-04 14:47:10.210471,2026-03-04 15:32:38.341535,0 days 00:45:28.131064,32,4,0.4,0.0082271732296813,15,base,256,64,1.4891756954274469,0.4,0.0938135790936814,0.0034854865295127,0.8,5,30,BiGRU,6,2,corn,20,2.2466578986498256,0.4706495586411226,15,0.6760055422611573,0.3928886528026167,41,0.0006008396946269,0.5255028735632183,0.1242839920599117,0.1421083221286561,0.2135416666666666,COMPLETE,0.1242839920599117,0.2135416666666666,0.5255028735632183,0.1421083221286561,5
