number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
41,-0.026367252067556447,2026-03-03 05:25:20.999012,2026-03-03 05:32:57.195049,0 days 00:07:36.196037,32,0.8,0.008801407404832264,10,sector_all_nlp,128,128,5,1.853928498766553,0.0,1.886846423385216e-05,0.4,5,20,BiGRU,2,10,3.1582888470125735e-05,COMPLETE
24,-0.026370419545258185,2026-03-03 03:03:11.979484,2026-03-03 03:11:34.885178,0 days 00:08:22.905694,32,0.7000000000000001,0.008502792457606444,15,sector_all_nlp,256,128,5,1.4070569938348292,0.1,4.116424482503524e-06,0.8,5,20,BiLSTM,2,5,0.00018867271442116543,COMPLETE
83,-0.02638244502212149,2026-03-03 11:41:49.173939,2026-03-03 11:48:08.073177,0 days 00:06:18.899238,64,0.8,0.009339259096736881,10,sector_unified_emotion,256,64,5,0.45301722369410247,0.0,4.047248647557952e-05,0.8,7,20,BiLSTM,2,20,1.8929058140805238e-05,COMPLETE
52,-0.026383674748046003,2026-03-03 07:27:02.141764,2026-03-03 07:37:15.942059,0 days 00:10:13.800295,32,0.7000000000000001,0.006297663959476136,20,sector_finbert,256,128,5,1.3206151334965421,0.1,1.8931755917467646e-06,0.4,10,30,BiLSTM,2,20,2.302735126144904e-05,COMPLETE
56,-0.026384917598909027,2026-03-03 07:59:59.460245,2026-03-03 08:08:52.914758,0 days 00:08:53.454513,32,0.8,0.004456261305344824,15,sector_emotion,256,128,5,0.44463782864666634,0.1,3.7717243418228687e-06,0.4,7,20,BiLSTM,2,20,0.0003260135664205879,COMPLETE
37,-0.026386457380625786,2026-03-03 04:50:40.586644,2026-03-03 04:59:03.562845,0 days 00:08:22.976201,16,0.7000000000000001,0.005536022261692148,10,sector,64,128,5,0.4038327316230452,0.0,6.68188037597725e-06,0.4,7,20,LSTM,2,10,7.59018852569485e-05,COMPLETE
57,-0.026391629985170726,2026-03-03 08:08:52.916110,2026-03-03 08:15:56.257341,0 days 00:07:03.341231,32,0.8,0.005902746852586819,10,sector_all_nlp,256,64,5,0.20209814197598358,0.1,3.0056055469427626e-06,0.4,10,20,LSTM,2,15,0.0003210685935259682,COMPLETE
76,-0.026401796142456434,2026-03-03 10:45:14.452569,2026-03-03 10:54:22.074920,0 days 00:09:07.622351,16,0.7000000000000001,0.009980357070018367,10,sector_unified_emotion,128,128,5,0.1811610770831807,0.1,7.502131980649875e-06,0.4,10,20,BiLSTM,2,20,0.0007616580948120459,COMPLETE
71,-0.02640340653428719,2026-03-03 10:06:41.689102,2026-03-03 10:12:57.306558,0 days 00:06:15.617456,64,0.7000000000000001,0.007991901694832833,10,sector_unified_emotion,256,128,5,0.6815263674335367,0.1,3.802439920532293e-06,0.4,10,20,BiLSTM,2,20,6.5262381680062035e-06,COMPLETE
58,-0.026404940103359843,2026-03-03 08:15:56.258121,2026-03-03 08:26:07.705348,0 days 00:10:11.447227,32,0.7000000000000001,0.00740137042779274,20,sector_all_nlp,256,128,5,0.23923239005086355,0.2,2.691086805308848e-06,0.4,7,50,BiLSTM,2,10,0.0002590222367896481,COMPLETE
62,-0.026414136049514085,2026-03-03 08:49:56.280820,2026-03-03 08:57:32.015138,0 days 00:07:35.734318,32,0.7000000000000001,0.009205158768837098,10,sector_unified_emotion,64,128,5,0.24583324231039233,0.1,7.114907421135798e-06,0.4,10,30,BiLSTM,2,20,0.00032926809429429705,COMPLETE
33,-0.026417733872524385,2026-03-03 04:19:31.185258,2026-03-03 04:28:41.506143,0 days 00:09:10.320885,32,0.8,0.0059929553949400905,15,sector,64,128,5,1.855815031119904,0.0,1.9508496977975296e-06,0.4,10,50,BiLSTM,2,20,9.729212492142924e-05,COMPLETE
77,-0.026426623990972,2026-03-03 10:54:22.075941,2026-03-03 11:01:27.568113,0 days 00:07:05.492172,32,0.8,0.004917594796876787,10,sector_emotion,128,128,5,0.6620696664676098,0.1,3.4630025242119827e-06,0.4,7,50,GRU,2,15,2.898384842588121e-05,COMPLETE
12,-0.026451020180369243,2026-03-03 01:45:18.149775,2026-03-03 01:50:30.921539,0 days 00:05:12.771764,64,0.5,0.008201120694322812,10,sector_sentiment,64,128,5,0.7906512945008598,0.30000000000000004,2.0193493934141405e-06,0.4,10,20,BiGRU,1,10,0.00023431309752811784,COMPLETE
10,-0.026456369377474552,2026-03-03 01:34:49.052212,2026-03-03 01:40:06.222435,0 days 00:05:17.170223,64,0.5,0.00703858679094446,10,sector_sentiment,64,128,5,0.7934518108328348,0.2,3.678511699525253e-06,0.8,10,20,BiGRU,1,5,0.0001392639454069561,COMPLETE
15,-0.026460054193759963,2026-03-03 02:01:18.344568,2026-03-03 02:06:48.902711,0 days 00:05:30.558143,64,0.4,0.004104904043386375,10,sector_all_nlp,64,64,5,1.8105942082012914,0.4,2.390680920392238e-05,0.8,10,20,BiLSTM,1,5,0.000377260979001223,COMPLETE
23,-0.026461209219786567,2026-03-03 02:56:17.577845,2026-03-03 03:03:11.978816,0 days 00:06:54.400971,32,0.7000000000000001,0.004754479696144598,10,sector_finbert,128,128,5,1.054403010922233,0.2,5.39881604201045e-06,0.4,5,30,GRU,2,10,1.9669416151989294e-05,COMPLETE
59,-0.026479096760517185,2026-03-03 08:26:07.706202,2026-03-03 08:34:00.776478,0 days 00:07:53.070276,32,0.8,0.007773621244852686,10,sector_all_nlp,128,64,5,1.2235216539935665,0.0,4.5688141035597e-05,0.4,7,20,BiLSTM,2,10,0.0003414516472425478,COMPLETE
87,-0.02648101834837299,2026-03-03 12:13:02.905119,2026-03-03 12:20:41.908609,0 days 00:07:39.003490,32,0.5,0.009136719620126486,15,sector_finbert,128,128,5,0.6035165567457116,0.1,5.7104613590603214e-05,0.8,10,20,LSTM,2,20,9.91791400636005e-07,COMPLETE
35,-0.02648865451861588,2026-03-03 04:35:47.963807,2026-03-03 04:44:37.741899,0 days 00:08:49.778092,32,0.6000000000000001,0.008102974899735315,20,sector_finbert,64,128,5,1.2699662263877187,0.1,1.2877122633905044e-05,0.8,10,50,BiLSTM,1,15,4.185710964684404e-05,COMPLETE
21,-0.026500891653365798,2026-03-03 02:37:37.507665,2026-03-03 02:49:42.711415,0 days 00:12:05.203750,16,0.7000000000000001,0.007676671986991387,20,sector_all_nlp,128,32,5,0.7978886177739034,0.1,3.438951734849168e-06,0.4,10,20,BiLSTM,2,15,0.0004768201491595795,COMPLETE
93,-0.026503138784046018,2026-03-03 13:00:13.396621,2026-03-03 13:07:54.634799,0 days 00:07:41.238178,32,0.8,0.009716692269083527,15,sector_unified_emotion,128,128,5,0.7068394757914781,0.2,1.362826358845152e-06,0.8,10,20,LSTM,2,10,1.4776169051004265e-05,COMPLETE
74,-0.026511348289745194,2026-03-03 10:29:35.932610,2026-03-03 10:37:32.899204,0 days 00:07:56.966594,32,0.8,0.00583038092254298,10,sector_unified_emotion,256,128,5,0.3209480426509827,0.2,1.2149882774245137e-05,0.8,7,20,BiLSTM,2,20,0.0007526908952200065,COMPLETE
67,-0.026515400210007405,2026-03-03 09:30:42.931133,2026-03-03 09:38:35.748036,0 days 00:07:52.816903,32,0.8,0.008252311488778629,10,sector_all_nlp,128,128,5,1.0549089250160297,0.0,1.4160515270132483e-06,0.4,5,30,BiLSTM,2,10,4.919788087942949e-05,COMPLETE
55,-0.02651649516519335,2026-03-03 07:52:19.261500,2026-03-03 07:59:59.459381,0 days 00:07:40.197881,64,0.5,0.0070710119978959814,20,sector_all_nlp,64,128,5,1.2219133259576542,0.0,1.0429838412739609e-06,0.4,7,50,BiLSTM,2,15,0.00020307124883831124,COMPLETE
69,-0.026523045024077183,2026-03-03 09:49:18.628968,2026-03-03 09:57:33.340653,0 days 00:08:14.711685,32,0.7000000000000001,0.004666411903946025,10,sector_unified_emotion,256,128,5,1.976898410488102,0.1,3.7919065130703426e-06,0.4,5,20,BiLSTM,2,10,0.00038812438057219604,COMPLETE
73,-0.02653988261932706,2026-03-03 10:19:48.924112,2026-03-03 10:29:35.931780,0 days 00:09:47.007668,32,0.8,0.007702736189317064,20,sector_all_nlp,64,128,5,1.4341247798084886,0.0,3.6566445126335637e-06,0.4,10,50,BiLSTM,2,15,2.3931259415713386e-05,COMPLETE
72,-0.026558854874762606,2026-03-03 10:12:57.307307,2026-03-03 10:19:48.923354,0 days 00:06:51.616047,32,0.8,0.008261361806484608,10,sector_unified_emotion,256,128,5,0.212034700768862,0.1,1.821547667056943e-05,0.4,10,20,GRU,2,20,0.00014101649504393696,COMPLETE
49,-0.026587039116799414,2026-03-03 07:02:45.301988,2026-03-03 07:09:24.923606,0 days 00:06:39.621618,32,0.8,0.005790798798328555,10,sector_emotion,128,128,5,0.4723173750123285,0.0,3.5064725800289692e-06,0.4,7,20,BiLSTM,1,5,0.0002724917337905841,COMPLETE
96,-0.026594842123803437,2026-03-03 13:22:37.119776,2026-03-03 13:30:31.619210,0 days 00:07:54.499434,32,0.6000000000000001,0.008095672669340522,15,sector_finbert,256,128,5,0.31967138830441433,0.0,0.00020665635598447358,0.8,10,20,LSTM,2,10,1.3454967787858833e-05,COMPLETE
68,-0.02659970365786383,2026-03-03 09:38:35.748854,2026-03-03 09:49:18.628042,0 days 00:10:42.879188,32,0.7000000000000001,0.008713731744764672,20,sector,128,128,5,1.605949781497106,0.1,2.3084087903981285e-06,0.8,5,50,BiLSTM,2,10,0.0001158790618619051,COMPLETE
0,-0.026619825945531934,2026-03-03 00:21:40.903874,2026-03-03 00:27:32.446955,0 days 00:05:51.543081,64,0.5,0.006842330265121569,20,sector_sentiment,64,128,5,0.2855770166121293,0.1,6.672367170464208e-05,0.8,10,20,BiLSTM,1,5,0.0001382623217936986,COMPLETE
91,-0.026620260161273963,2026-03-03 12:44:08.893980,2026-03-03 12:52:39.896588,0 days 00:08:31.002608,32,0.6000000000000001,0.0097288368641481,15,sector_finbert,256,128,5,0.10633658696029133,0.0,8.24318342447183e-06,0.8,10,20,BiGRU,2,20,6.934072827550179e-07,COMPLETE
47,-0.026637218132286075,2026-03-03 06:43:13.327064,2026-03-03 06:55:33.872552,0 days 00:12:20.545488,16,0.8,0.009981818815211341,20,sector_unified_emotion,128,128,5,1.4896733681583347,0.2,1.0313598712183068e-05,0.8,7,20,BiLSTM,2,5,2.1126741724024347e-06,COMPLETE
97,-0.026641046031520402,2026-03-03 13:30:31.619980,2026-03-03 13:37:36.688167,0 days 00:07:05.068187,32,0.6000000000000001,0.0070287529689082775,15,sector_unified_emotion,64,128,5,0.6302078724260258,0.2,4.9780766270832725e-06,0.8,10,20,LSTM,1,15,1.3114181285544106e-06,COMPLETE
32,-0.026643920552601428,2026-03-03 04:11:01.316563,2026-03-03 04:19:31.184306,0 days 00:08:29.867743,32,0.6000000000000001,0.008399559613881145,20,sector_all_nlp,64,32,5,1.521813217541553,0.1,2.4483263400035204e-06,0.4,10,50,GRU,2,20,6.044057638161222e-06,COMPLETE
1,-0.026675405563401488,2026-03-03 00:27:32.447839,2026-03-03 00:33:09.489687,0 days 00:05:37.041848,64,0.2,0.0007404465173409036,10,sector_finbert,64,128,5,1.565413658703297,0.0,2.67308831078167e-05,0.8,10,20,LSTM,2,5,1.3296521457299496e-06,COMPLETE
40,-0.026679378403958513,2026-03-03 05:15:38.612401,2026-03-03 05:25:20.997937,0 days 00:09:42.385536,16,0.8,0.009275054434036431,10,sector_all_nlp,128,128,5,1.296558180709212,0.2,5.753309433427028e-05,0.4,5,20,BiLSTM,2,5,5.212400722170513e-06,COMPLETE
7,-0.026703027955657647,2026-03-03 01:09:00.517437,2026-03-03 01:15:49.826440,0 days 00:06:49.309003,64,0.30000000000000004,0.0007845638134226596,15,sector,64,128,5,0.9340456993407086,0.4,7.299348683062316e-06,0.8,10,30,BiLSTM,2,5,3.1014294272127416e-05,COMPLETE
