number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
49,-0.011296608450158644,2026-03-09 00:50:15.662603,2026-03-09 00:53:03.350198,0 days 00:02:47.687595,128,0.1,0.0066414195699193174,15,meta_emotion,128,64,1,1.2374281804518026,0.0,1.3455893827044456e-06,0.8,7,50,LSTM,2,5,0.0006282383854063255,COMPLETE
41,-0.01132533609089655,2026-03-09 00:22:23.092812,2026-03-09 00:25:40.844100,0 days 00:03:17.751288,64,0.1,0.0050078454325139235,15,meta_err_unified_emotion,128,64,1,0.3811713791952219,0.1,1.1750818608487512e-06,0.8,7,20,LSTM,2,10,4.474451289508646e-05,COMPLETE
35,-0.011327847227782307,2026-03-09 00:02:59.807800,2026-03-09 00:05:50.672978,0 days 00:02:50.865178,64,0.0,0.0071026665020115475,10,meta_emotion,256,128,1,0.3873545966754915,0.30000000000000004,1.3693507415669775e-06,0.4,7,30,LSTM,2,10,5.25963241742591e-05,COMPLETE
48,-0.011330602492462186,2026-03-09 00:47:27.905953,2026-03-09 00:50:15.661689,0 days 00:02:47.755736,128,0.2,0.0047360469256678694,15,meta_err_emotion,128,64,1,0.8963475838774603,0.0,1.103141348491164e-06,0.8,7,50,LSTM,2,5,0.0002219244802504936,COMPLETE
20,-0.011331886071062657,2026-03-08 23:12:39.897671,2026-03-08 23:15:40.405298,0 days 00:03:00.507627,64,0.6000000000000001,0.0047683034808055896,10,meta_err_all_nlp,128,128,1,1.8110480098492328,0.30000000000000004,3.1397606041565213e-06,0.8,5,30,BiLSTM,1,15,0.00012070917603861232,COMPLETE
8,-0.011334062794419411,2026-03-08 22:19:49.298743,2026-03-08 22:25:23.072183,0 days 00:05:33.773440,64,0.1,0.002820345725713065,20,meta_err_unified_emotion,256,128,1,1.6266137677312122,0.4,2.386557173672711e-06,0.8,10,30,BiLSTM,2,20,5.395442811888475e-05,COMPLETE
36,-0.011337666879071225,2026-03-09 00:05:50.673885,2026-03-09 00:09:49.201004,0 days 00:03:58.527119,64,0.1,0.0027884960906159467,20,meta_emotion,128,128,1,0.3709049636238403,0.30000000000000004,1.8384629722593833e-06,0.8,7,20,BiGRU,2,5,5.4473296852884684e-06,COMPLETE
34,-0.011338366826402718,2026-03-09 00:00:01.981020,2026-03-09 00:02:59.806972,0 days 00:02:57.825952,64,0.0,0.005053146793894223,10,meta_err_unified_emotion,128,128,1,0.6247639101420607,0.2,1.8623574652784474e-06,0.8,7,20,LSTM,2,10,1.042634177789976e-05,COMPLETE
44,-0.011338801804965421,2026-03-09 00:33:06.641434,2026-03-09 00:36:27.854267,0 days 00:03:21.212833,64,0.2,0.00594705986224944,15,meta_sentiment,128,64,1,0.5219950601197637,0.1,1.4626660241613726e-05,0.8,7,20,LSTM,2,15,8.500325147465096e-05,COMPLETE
33,-0.011338824367894454,2026-03-08 23:57:05.131697,2026-03-09 00:00:01.980189,0 days 00:02:56.848492,64,0.0,0.005381838564307927,10,meta_err_unified_emotion,256,128,1,0.6109971733862368,0.30000000000000004,2.9295061742732505e-06,0.8,7,50,LSTM,2,10,2.6251606058856058e-05,COMPLETE
