number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
67,-0.02598667317408332,2026-03-02 09:25:30.552983,2026-03-02 09:30:39.958583,0 days 00:05:09.405600,64,0.1,0.009355891034717213,15,base,128,64,5,0.31581759068209914,0.4,3.209614016012453e-06,0.8,10,50,BiLSTM,2,5,5.170084389856886e-07,COMPLETE
34,-0.026009849796855722,2026-03-02 06:16:16.276529,2026-03-02 06:20:43.388764,0 days 00:04:27.112235,64,0.0,0.009537245238630119,15,base,128,64,5,0.7440093254320785,0.4,3.5145420989052025e-06,0.8,5,30,LSTM,1,10,1.5732585908610655e-05,COMPLETE
19,-0.026056257528329557,2026-03-02 04:50:59.198690,2026-03-02 04:58:19.796440,0 days 00:07:20.597750,16,0.1,0.009402198920723586,10,base,128,64,5,1.3015539014119493,0.2,1.860934343389984e-06,0.4,5,50,LSTM,2,10,8.64115770288394e-05,COMPLETE
30,-0.026070098989904665,2026-03-02 05:55:56.347610,2026-03-02 06:00:55.618222,0 days 00:04:59.270612,64,0.2,0.009954374862739108,15,base,128,64,5,0.8393003677842872,0.30000000000000004,2.548601820599988e-06,0.4,5,50,LSTM,2,10,4.0297921985296836e-05,COMPLETE
73,-0.026086132663724327,2026-03-02 09:58:14.133886,2026-03-02 10:05:35.392444,0 days 00:07:21.258558,16,0.0,0.008589452729402064,10,base,64,64,5,0.7677205308719386,0.1,1.9782314202635687e-06,0.8,5,50,LSTM,2,5,7.756076947936472e-05,COMPLETE
47,-0.026121040146605563,2026-03-02 07:31:51.474651,2026-03-02 07:37:14.615659,0 days 00:05:23.141008,64,0.0,0.008591449054857331,15,base,128,64,5,1.1719592534996541,0.4,1.0828067229082985e-06,0.8,5,50,BiLSTM,2,10,3.4969969495856796e-06,COMPLETE
23,-0.026121430300411974,2026-03-02 05:18:33.878969,2026-03-02 05:23:20.684696,0 days 00:04:46.805727,64,0.2,0.008660404462834897,15,base,128,128,5,1.56261500057782,0.4,1.1015009723340229e-06,0.4,5,30,LSTM,2,10,0.00021842067644740342,COMPLETE
70,-0.026124851182343253,2026-03-02 09:41:06.899607,2026-03-02 09:45:57.549193,0 days 00:04:50.649586,64,0.0,0.009733721742772233,15,base,256,64,5,0.23937075016050086,0.30000000000000004,6.182273946350202e-06,0.8,10,50,GRU,2,5,1.0347641721126294e-07,COMPLETE
95,-0.026128187389750694,2026-03-02 12:45:09.938138,2026-03-02 12:51:02.513630,0 days 00:05:52.575492,64,0.30000000000000004,0.008411146868445806,15,base,128,32,5,0.2969361732864844,0.4,3.8377464488579915e-06,0.8,10,30,BiLSTM,2,5,2.428547653858928e-07,COMPLETE
90,-0.026132938688935927,2026-03-02 12:16:53.035366,2026-03-02 12:22:19.856660,0 days 00:05:26.821294,64,0.0,0.009071646475089143,15,base,128,64,5,0.8138120216538915,0.4,2.446316478654175e-06,0.8,5,30,LSTM,2,10,5.21901065107825e-06,COMPLETE
