company,sector,model_type,problem_type,sequence_length,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AMGN,Healthcare,BiLSTM,regression,12,21,0.330336796994112,0.824785616933083,196,49,48
AMGN,Healthcare,BiLSTM,regression,12,22,0.33912214940908003,0.873572089234177,196,49,48
AMGN,Healthcare,BiLSTM,regression,12,23,0.3157170719029952,0.9192666703340958,196,49,48
AMZN,Services,BiLSTM,regression,12,1,0.3497010820052203,0.3381196511419196,306,76,76
AMZN,Services,BiLSTM,regression,12,2,0.3256819446881612,0.3407197186821385,306,76,76
AMZN,Services,BiLSTM,regression,12,3,0.3141656506295298,0.34712537652567815,306,76,76
AMZN,Services,BiLSTM,regression,12,4,0.31462940787957383,0.34938995775423554,306,76,76
AMZN,Services,BiLSTM,regression,12,5,0.31127267608455583,0.35449937456532526,306,76,76
AMZN,Services,BiLSTM,regression,12,6,0.2949150362435509,0.3790808602383262,306,76,76
AMZN,Services,BiLSTM,regression,12,7,0.3007483735583187,0.4043016998391402,306,76,76
AMZN,Services,BiLSTM,regression,12,8,0.29331548521721285,0.46225343566191823,306,76,76
AMZN,Services,BiLSTM,regression,12,9,0.3001498544917387,0.6057908158553275,306,76,76
AMZN,Services,BiLSTM,regression,12,10,0.2951730604654823,0.594647438902604,306,76,76
AMZN,Services,BiLSTM,regression,12,11,0.29226887888378567,0.5414759422603407,306,76,76
AMZN,Services,BiLSTM,regression,12,12,0.29514065832873576,0.581256766068308,306,76,76
AMZN,Services,BiLSTM,regression,12,13,0.2961627338446823,0.6011893623753598,306,76,76
AMZN,Services,BiLSTM,regression,12,14,0.2853291661910761,0.6069842953430978,306,76,76
AMZN,Services,BiLSTM,regression,12,15,0.2815938619227191,0.6559291450600875,306,76,76
AMZN,Services,BiLSTM,regression,12,16,0.2819700266411102,0.8038172031703749,306,76,76
BA,Industrial Goods,BiLSTM,regression,12,1,0.4070033087832103,0.38214277304135835,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,2,0.3823112863076242,0.3781383450214679,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,3,0.3632564683096104,0.37276554566163284,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,4,0.3306980974866316,0.3649179476958055,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,5,0.34069065792018205,0.35762582375453067,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,6,0.338631954803286,0.35135329686678374,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,7,0.34630676765012514,0.3490511866716238,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,8,0.3288741104693209,0.34400224456420314,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,9,0.3179615506487435,0.3522571623325348,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,10,0.32236740339141323,0.37454171822621274,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,11,0.3314376258737103,0.4297488102546105,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,12,0.3080612476826844,0.43090895964549136,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,13,0.31936902175017445,0.4197154732850882,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,14,0.3140712297781949,0.39842076484973615,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,15,0.29861993791085284,0.4590255618095398,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,16,0.30686049749500943,0.535195318552164,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,17,0.3000299069694998,0.48780893362485445,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,18,0.30411048819668485,0.4724621039170485,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,19,0.29441328657464394,0.47724313460863554,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,20,0.2880304297564719,0.4755893853994516,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,21,0.2946017777891521,0.47517183193793666,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,22,0.3040750196194762,0.4935253675167377,211,52,52
BA,Industrial Goods,BiLSTM,regression,12,23,0.27205775706406454,0.5036799724285419,211,52,52
BABA,Services,BiLSTM,regression,12,1,0.4045622339294215,0.8487570331646845,157,39,49
BABA,Services,BiLSTM,regression,12,2,0.3479966878131696,0.8473939391282889,157,39,49
BABA,Services,BiLSTM,regression,12,3,0.3595924191414171,0.8460565224671975,157,39,49
BABA,Services,BiLSTM,regression,12,4,0.3257446509258003,0.8441425974552448,157,39,49
BABA,Services,BiLSTM,regression,12,5,0.32696064167721256,0.8424370273565635,157,39,49
BABA,Services,BiLSTM,regression,12,6,0.3100082786979189,0.8410938855929252,157,39,49
BABA,Services,BiLSTM,regression,12,7,0.31032196465571216,0.8419092970016675,157,39,49
BABA,Services,BiLSTM,regression,12,8,0.32487517139714234,0.8420107731452355,157,39,49
BABA,Services,BiLSTM,regression,12,9,0.31349724360332365,0.8368066862607614,157,39,49
BABA,Services,BiLSTM,regression,12,10,0.3134895396080746,0.8333452336299114,157,39,49
BABA,Services,BiLSTM,regression,12,11,0.30053055855878597,0.8327059745788574,157,39,49
BABA,Services,BiLSTM,regression,12,12,0.30640377930015517,0.833360996001806,157,39,49
BABA,Services,BiLSTM,regression,12,13,0.28219650505454674,0.8343700445615329,157,39,49
BABA,Services,BiLSTM,regression,12,14,0.2927891706964772,0.920088726740617,157,39,49
BABA,Services,BiLSTM,regression,12,15,0.30028101289348236,1.0577247891670618,157,39,49
BABA,Services,BiLSTM,regression,12,16,0.27224678484497555,1.234854546877054,157,39,49
BABA,Services,BiLSTM,regression,12,17,0.2912834045613647,1.1464124872134283,157,39,49
BABA,Services,BiLSTM,regression,12,18,0.25517964135309695,1.098963011533786,157,39,49
BABA,Services,BiLSTM,regression,12,19,0.27590423575632134,1.1880536048840253,157,39,49
BABA,Services,BiLSTM,regression,12,20,0.2688364901929904,1.2063441658631349,157,39,49
BABA,Services,BiLSTM,regression,12,21,0.25953969036697583,1.1125378944934943,157,39,49
BABA,Services,BiLSTM,regression,12,22,0.24820263503463405,1.0798103656524267,157,39,49
BABA,Services,BiLSTM,regression,12,23,0.2573433662675748,1.0859028207950103,157,39,49
BABA,Services,BiLSTM,regression,12,24,0.2805418474659039,1.1107509105633466,157,39,49
BABA,Services,BiLSTM,regression,12,25,0.25522172982525676,1.0542065027432563,157,39,49
BABA,Services,BiLSTM,regression,12,26,0.24436274455611112,0.9943722043281946,157,39,49
BAC,Financial,BiLSTM,regression,12,1,0.41211823447489404,0.529873809344332,284,71,70
BAC,Financial,BiLSTM,regression,12,2,0.3997010141611099,0.527847385742295,284,71,70
BAC,Financial,BiLSTM,regression,12,3,0.36481971472082003,0.5202498049803184,284,71,70
BAC,Financial,BiLSTM,regression,12,4,0.36688557319657905,0.5131744683628351,284,71,70
BAC,Financial,BiLSTM,regression,12,5,0.37319914429960116,0.5283025973279711,284,71,70
BAC,Financial,BiLSTM,regression,12,6,0.3686011645575644,0.5894265678566946,284,71,70
BAC,Financial,BiLSTM,regression,12,7,0.3711797809097129,0.6630400301704944,284,71,70
BAC,Financial,BiLSTM,regression,12,8,0.3511388721600385,0.7899559702671749,284,71,70
BAC,Financial,BiLSTM,regression,12,9,0.34610683040719636,1.0293310695970561,284,71,70
BAC,Financial,BiLSTM,regression,12,10,0.34709498412172557,1.2623433495911074,284,71,70
BAC,Financial,BiLSTM,regression,12,11,0.3355045452923842,1.0928756552682797,284,71,70
BAC,Financial,BiLSTM,regression,12,12,0.3380944092928524,1.1296388313803873,284,71,70
BAC,Financial,BiLSTM,regression,12,13,0.3258463698373714,1.1228998580449063,284,71,70
BAC,Financial,BiLSTM,regression,12,14,0.325937012971287,1.139700837538276,284,71,70
BAC,Financial,BiLSTM,regression,12,15,0.3161360037998414,1.0690464016417383,284,71,70
BAC,Financial,BiLSTM,regression,12,16,0.3406655187128295,1.2477068514891074,284,71,70
BAC,Financial,BiLSTM,regression,12,17,0.3281229022942798,1.220674842176303,284,71,70
BAC,Financial,BiLSTM,regression,12,18,0.3260690907777195,1.1942735759305283,284,71,70
BAC,Financial,BiLSTM,regression,12,19,0.30857339858169286,1.229971081438199,284,71,70
BHP,Basic Matierials,BiLSTM,regression,12,1,0.45711620702399863,0.5073245167732239,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,2,0.3763957657255568,0.5145001411437988,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,3,0.35819933382240504,0.5234334468841553,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,4,0.34760642776618134,0.5347778797149658,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,5,0.3292170886520867,0.5463261604309082,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,6,0.31726036281199066,0.5625502467155457,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,7,0.3515995676453049,0.5897374749183655,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,8,0.34434826766048465,0.6219004392623901,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,9,0.3127374079850343,0.6586265563964844,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,10,0.2914611764319308,0.702556312084198,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,11,0.2849770126579044,0.7682065367698669,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,12,0.3011359091814574,0.8439638614654541,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,13,0.29504178638930795,0.923568606376648,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,14,0.2926587991349332,1.013783574104309,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,15,0.2635121477079821,1.1161593198776245,111,27,45
BHP,Basic Matierials,BiLSTM,regression,12,16,0.2748080671907545,1.1883306503295898,111,27,45
BP,Basic Matierials,BiLSTM,regression,12,1,0.4309979843742707,0.6436062966074262,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,2,0.38928479289307316,0.641987008707864,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,3,0.36250459762180554,0.637933319523221,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,4,0.3519568473100662,0.638378001394726,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,5,0.3494462605784921,0.6441391309102377,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,6,0.3474002529593075,0.6505326713834491,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,7,0.32313457078793467,0.671000117347354,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,8,0.34071963850189657,0.6895566696212405,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,9,0.3318869471549988,0.718818621976035,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,10,0.32548629992148453,0.7806725246565682,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,11,0.3009193448459401,0.7832187499318805,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,12,0.2884224122061449,0.7748939934230986,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,13,0.29149740724002615,0.7835157513618469,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,14,0.32013063833994027,0.7985155213446844,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,15,0.28136781787171083,0.8218297106879098,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,16,0.2985000748844708,0.8207627251034691,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,17,0.2980043030837003,0.8181342681248983,170,42,42
BP,Basic Matierials,BiLSTM,regression,12,18,0.30360192393555363,0.8231683657282874,170,42,42
C,Financial,BiLSTM,regression,12,1,0.4104679673390937,0.5403585618650409,287,71,71
C,Financial,BiLSTM,regression,12,2,0.387546435206194,0.5404672177744584,287,71,71
C,Financial,BiLSTM,regression,12,3,0.3540033788942709,0.5457037443846044,287,71,71
C,Financial,BiLSTM,regression,12,4,0.3572276130266721,0.549807049858738,287,71,71
C,Financial,BiLSTM,regression,12,5,0.3504128060482105,0.5707149035494092,287,71,71
C,Financial,BiLSTM,regression,12,6,0.34435381545630067,0.6218055461494016,287,71,71
C,Financial,BiLSTM,regression,12,7,0.34328580255707797,0.5991351638041752,287,71,71
C,Financial,BiLSTM,regression,12,8,0.34165756409591913,0.6396607362048726,287,71,71
C,Financial,BiLSTM,regression,12,9,0.3162843756870941,0.7828432959570012,287,71,71
C,Financial,BiLSTM,regression,12,10,0.328849145655848,0.8182897248738249,287,71,71
C,Financial,BiLSTM,regression,12,11,0.3217126866250919,0.8998684530526819,287,71,71
C,Financial,BiLSTM,regression,12,12,0.3162568107195432,1.0332749343254197,287,71,71
C,Financial,BiLSTM,regression,12,13,0.32045875775274085,1.1283443796802575,287,71,71
C,Financial,BiLSTM,regression,12,14,0.3127348776063022,1.048056189443024,287,71,71
C,Financial,BiLSTM,regression,12,15,0.3202944782137455,1.0890356755592454,287,71,71
C,Financial,BiLSTM,regression,12,16,0.31664951394866986,1.2729946710694005,287,71,71
CAT,Industrial Goods,BiLSTM,regression,12,1,0.37807437089773327,0.6324487842765509,208,51,51
CAT,Industrial Goods,BiLSTM,regression,12,2,0.36233292863919186,0.6354138956350439,208,51,51
CAT,Industrial Goods,BiLSTM,regression,12,3,0.33150182779018694,0.645704915710524,208,51,51
CAT,Industrial Goods,BiLSTM,regression,12,4,0.3357708098796698,0.6661641714619655,208,51,51
CAT,Industrial Goods,BiLSTM,regression,12,5,0.3219851026168236,0.711761100619447,208,51,51
CAT,Industrial Goods,BiLSTM,regression,12,6,0.3304668664932251,0.7625436525718838,208,51,51
CAT,Industrial Goods,BiLSTM,regression,12,7,0.3076719366587125,0.821293361046735,208,51,51
CAT,Industrial Goods,BiLSTM,regression,12,8,0.2805914076474997,0.9621466842352175,208,51,51
