number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
105,-0.011396555937404025,2026-02-04 11:57:26.069433,2026-02-04 11:58:15.612587,0 days 00:00:49.543154,32,0.0,15,text_indicators,64,32,1,0.4,1.0032586551486856e-05,0.4,5,50,LSTM,2,18,0.00044001240818457977,,,,,,COMPLETE,,,,,
240,-0.011413582884137203,2026-02-04 14:50:54.602084,2026-02-04 14:52:20.971878,0 days 00:01:26.369794,64,0.1,10,text_indicators,128,64,1,0.30000000000000004,1.4384176750314325e-05,0.4,10,20,BiLSTM,2,18,0.008199570064359951,,,,,,COMPLETE,,,,,
210,-0.011420527643768394,2026-02-04 14:03:04.691956,2026-02-04 14:04:22.165719,0 days 00:01:17.473763,64,0.2,10,text_indicators,128,64,1,0.30000000000000004,1.817155407509846e-05,0.4,10,20,BiLSTM,2,18,0.006717432622702416,,,,,,COMPLETE,,,,,
218,-0.01142085596125451,2026-02-04 14:13:43.101831,2026-02-04 14:15:05.581493,0 days 00:01:22.479662,64,0.2,10,text_indicators,128,64,1,0.30000000000000004,1.4337878175467605e-05,0.8,10,20,BiLSTM,2,18,0.006546170910387689,,,,,,COMPLETE,,,,,
155,-0.011421967727372069,2026-02-04 12:50:10.905569,2026-02-04 12:50:53.323253,0 days 00:00:42.417684,64,0.30000000000000004,15,text_indicators,64,64,1,0.30000000000000004,1.617872299683473e-05,0.4,10,50,GRU,2,18,0.002037781436641386,,,,,,COMPLETE,,,,,
231,-0.011427200195297072,2026-02-04 14:36:17.126978,2026-02-04 14:37:46.395384,0 days 00:01:29.268406,64,0.2,10,text_indicators,128,64,1,0.30000000000000004,1.3175147797469804e-05,0.4,10,20,BiLSTM,2,18,0.007900473022240673,,,,,,COMPLETE,,,,,
120,-0.01143775621066626,2026-02-04 12:14:00.230678,2026-02-04 12:15:21.509368,0 days 00:01:21.278690,64,0.2,15,text_indicators,64,64,1,0.4,1.3217065421788237e-05,0.4,10,50,GRU,2,18,0.0005836610005213784,,,,,,COMPLETE,,,,,
211,-0.011443219971365824,2026-02-04 14:04:22.166194,2026-02-04 14:05:38.746945,0 days 00:01:16.580751,64,0.2,10,text_indicators,128,64,1,0.30000000000000004,1.8549575662377374e-05,0.4,10,20,BiLSTM,2,18,0.00995249774854312,,,,,,COMPLETE,,,,,
201,-0.011447550525749264,2026-02-04 13:50:35.055515,2026-02-04 13:51:54.802837,0 days 00:01:19.747322,64,0.2,10,text_indicators,128,64,1,0.30000000000000004,1.4789642552054358e-05,0.4,10,20,BiLSTM,2,18,0.00864660044882716,,,,,,COMPLETE,,,,,
206,-0.011456621124173123,2026-02-04 13:57:26.914886,2026-02-04 13:58:48.872924,0 days 00:01:21.958038,64,0.2,10,text_indicators,128,64,1,0.30000000000000004,1.5677602564928125e-05,0.4,10,20,BiLSTM,2,18,0.006784423112666525,,,,,,COMPLETE,,,,,
