number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
16,0.5846226526803296,2026-02-02 13:25:27.908868,2026-02-02 13:26:23.870035,0 days 00:00:55.961167,16,0.1,10,all_features,256,64,5,0.0,0.0001640104637875543,0.7,7,50,GRU,2,6,1.1873304838730557e-06,COMPLETE
17,0.5529926540587775,2026-02-02 13:26:23.870472,2026-02-02 13:27:19.451630,0 days 00:00:55.581158,16,0.0,10,all_features,256,64,5,0.0,0.00047781806403013387,0.7,7,50,GRU,2,6,3.0290143040089916e-06,COMPLETE
21,0.5488041248944348,2026-02-02 13:30:22.561461,2026-02-02 13:31:17.808834,0 days 00:00:55.247373,16,0.0,10,all_features,256,64,5,0.1,0.0002685066799632045,0.7,7,50,GRU,2,6,2.1195847033266948e-06,COMPLETE
2,0.5450926518590982,2026-02-02 12:55:12.546348,2026-02-02 12:56:25.598407,0 days 00:01:13.052059,16,0.0,10,all_features,64,64,5,0.1,0.0007931110628883376,0.7,7,50,GRU,2,30,2.697267512343057e-06,COMPLETE
15,0.5429411372229511,2026-02-02 13:23:11.663841,2026-02-02 13:25:27.908163,0 days 00:02:16.244322,32,0.1,20,all_features,64,128,5,0.0,0.00016109332429083294,0.7,7,50,BiLSTM,2,12,1.0222965510363348e-06,COMPLETE
4,0.5405354883541853,2026-02-02 12:57:31.919881,2026-02-02 13:00:48.139908,0 days 00:03:16.220027,32,0.5,20,all_features,64,128,5,0.3,0.00010537692328645983,0.5,5,30,BiLSTM,2,18,0.0004783870717902403,COMPLETE
10,0.5375643484266696,2026-02-02 13:09:29.727726,2026-02-02 13:10:32.749295,0 days 00:01:03.021569,16,0.0,10,all_features,256,64,5,0.2,0.00034923057973115025,0.7,7,50,LSTM,2,6,6.388943973307415e-06,COMPLETE
35,0.5337374349315067,2026-02-02 13:49:37.514757,2026-02-02 13:50:26.556763,0 days 00:00:49.042006,16,0.0,10,all_features,128,32,5,0.0,0.000825001279507352,0.7,7,50,GRU,2,12,4.449334563247432e-06,COMPLETE
34,0.5335295667238044,2026-02-02 13:47:06.596579,2026-02-02 13:49:37.513965,0 days 00:02:30.917386,16,0.1,10,all_features,256,64,5,0.2,0.000313204050367042,0.7,7,50,BiGRU,1,18,7.449906617029416e-06,COMPLETE
33,0.5333405705017545,2026-02-02 13:45:29.004222,2026-02-02 13:47:06.593085,0 days 00:01:37.588863,16,0.0,10,all_features,128,64,5,0.1,0.0007823587167224064,0.7,7,50,GRU,2,36,1.5357561640124425e-06,COMPLETE
27,0.5319803840972398,2026-02-02 13:36:07.226114,2026-02-02 13:36:59.334443,0 days 00:00:52.108329,16,0.1,10,all_features,256,64,5,0.1,0.00037463628121435364,0.7,7,50,GRU,2,6,1.0166853327053958e-06,COMPLETE
11,0.5256883735612216,2026-02-02 13:10:32.750308,2026-02-02 13:14:34.624338,0 days 00:04:01.874030,16,0.30000000000000004,20,all_features,64,64,5,0.2,0.0001213960797970614,0.7,7,30,BiLSTM,2,24,0.0007233034310979846,COMPLETE
