number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
94,-1.0,2026-02-27 16:19:14.209660,2026-02-27 16:19:15.036084,0 days 00:00:00.826424,64,0.4,0.008327839072723716,10,base,64,32,1,0.2958605089398352,0.1,0.0012572970667094816,0.8,10,30,BiGRU,2,5,0.00023532517768905462,COMPLETE
93,-1.0,2026-02-27 16:19:13.200475,2026-02-27 16:19:14.209188,0 days 00:00:01.008713,16,0.8,0.0018217848225653595,15,base,256,128,1,0.43371929374506535,0.0,4.7700145954693475e-05,0.4,10,50,BiGRU,2,20,3.632149198326981e-07,COMPLETE
92,-1.0,2026-02-27 16:19:12.280468,2026-02-27 16:19:13.200051,0 days 00:00:00.919583,64,0.2,0.000623395992908556,20,base,256,64,1,0.6207233832609256,0.2,1.244436753728227e-05,0.8,5,50,BiLSTM,2,15,0.0003612685807119463,COMPLETE
91,-1.0,2026-02-27 16:19:11.437229,2026-02-27 16:19:12.279963,0 days 00:00:00.842734,64,0.0,0.0012001580526941134,20,base,256,64,1,0.45123835034406157,0.1,8.60067172299688e-06,0.8,10,50,BiLSTM,2,5,1.6388851913930149e-06,COMPLETE
90,-1.0,2026-02-27 16:19:10.510568,2026-02-27 16:19:11.436827,0 days 00:00:00.926259,64,0.30000000000000004,0.0011432273769534087,10,base,64,64,1,0.6888212122119978,0.30000000000000004,2.00815321173352e-05,0.8,5,50,BiGRU,2,10,0.00012028934696678653,COMPLETE
89,-1.0,2026-02-27 16:19:09.569135,2026-02-27 16:19:10.510086,0 days 00:00:00.940951,32,0.0,0.0035854367617569353,15,base,256,64,1,0.4399070072016134,0.1,1.7340584261249081e-06,0.8,10,20,LSTM,1,5,1.0227703593893079e-07,COMPLETE
88,-1.0,2026-02-27 16:19:08.489751,2026-02-27 16:19:09.568753,0 days 00:00:01.079002,16,0.5,0.0007923849195184759,10,base,256,64,1,0.2167093442904542,0.1,3.4308135868102e-05,0.8,5,50,LSTM,2,15,5.649848419497152e-05,COMPLETE
87,-1.0,2026-02-27 16:19:07.556200,2026-02-27 16:19:08.489290,0 days 00:00:00.933090,16,0.7000000000000001,0.0010497143727261015,10,base,256,32,1,0.8959783895489953,0.0,0.0014209199504324219,0.4,10,50,GRU,1,15,2.098728903114193e-07,COMPLETE
86,-1.0,2026-02-27 16:19:06.695749,2026-02-27 16:19:07.555789,0 days 00:00:00.860040,16,0.8,0.005163879912270687,15,base,64,32,1,0.9773085750076806,0.30000000000000004,1.5249895041122154e-06,0.4,10,20,GRU,1,10,5.471543498308527e-05,COMPLETE
85,-1.0,2026-02-27 16:19:05.803276,2026-02-27 16:19:06.695344,0 days 00:00:00.892068,64,0.30000000000000004,0.00377928032443838,20,base,128,64,1,0.5155826344296736,0.1,8.315400671895162e-05,0.8,5,50,BiLSTM,1,15,2.0986372785501909e-07,COMPLETE
84,-1.0,2026-02-27 16:19:04.772433,2026-02-27 16:19:05.802811,0 days 00:00:01.030378,64,0.30000000000000004,0.0017563810945026613,10,base,128,64,1,0.27907879799022595,0.1,1.4187180191162056e-06,0.8,5,50,BiLSTM,2,20,0.0006293978907031002,COMPLETE
83,-1.0,2026-02-27 16:19:03.761509,2026-02-27 16:19:04.771981,0 days 00:00:01.010472,64,0.30000000000000004,0.0007379582121242251,10,base,256,64,1,0.18185205936130777,0.2,2.767119613332473e-06,0.8,10,20,BiLSTM,2,20,0.00016958398572096604,COMPLETE
82,-1.0,2026-02-27 16:19:02.831293,2026-02-27 16:19:03.761092,0 days 00:00:00.929799,32,0.2,0.0011908034602880258,10,base,256,64,1,0.33370250698512094,0.1,2.5746820760256997e-06,0.8,7,50,BiLSTM,2,15,7.226973834166015e-05,COMPLETE
81,-1.0,2026-02-27 16:19:01.864848,2026-02-27 16:19:02.830852,0 days 00:00:00.966004,64,0.2,0.0017646932713949136,10,base,256,128,1,0.4928641388782676,0.1,3.80692467873076e-05,0.8,5,50,BiLSTM,2,15,0.0009869582148057325,COMPLETE
80,-1.0,2026-02-27 16:19:01.100969,2026-02-27 16:19:01.864421,0 days 00:00:00.763452,32,0.0,0.000822748101561477,15,base,256,64,1,1.4246611947817882,0.30000000000000004,1.565911680807047e-06,0.8,10,50,BiLSTM,1,5,7.428315469867752e-06,COMPLETE
79,-1.0,2026-02-27 16:18:59.857063,2026-02-27 16:19:01.100530,0 days 00:00:01.243467,16,0.8,0.002408417992696892,20,base,256,128,1,0.7698438521270154,0.0,0.00017171352448289785,0.4,10,20,BiLSTM,2,20,2.1120558127907458e-06,COMPLETE
78,-1.0,2026-02-27 16:18:58.881525,2026-02-27 16:18:59.844150,0 days 00:00:00.962625,64,0.0,0.00039754058073505774,15,base,256,64,1,1.8885790262539959,0.2,8.496266238111455e-06,0.8,5,50,BiLSTM,1,15,5.3888125260775026e-06,COMPLETE
51,-1.0,2026-02-27 16:18:34.277349,2026-02-27 16:18:35.248872,0 days 00:00:00.971523,64,0.2,0.0014195294766147643,10,base,256,64,1,0.13608109017989325,0.0,5.9509640156267604e-05,0.8,5,20,BiLSTM,1,20,3.751383222690627e-07,COMPLETE
50,-1.0,2026-02-27 16:18:33.376265,2026-02-27 16:18:34.276887,0 days 00:00:00.900622,32,0.5,0.0032393055789302224,10,base,128,32,1,0.7122945505156593,0.0,0.008985843406481316,0.8,5,50,GRU,1,15,1.1603110295059755e-07,COMPLETE
49,-1.0,2026-02-27 16:18:32.407753,2026-02-27 16:18:33.375742,0 days 00:00:00.967989,16,0.4,0.0007604138212002126,10,base,256,128,1,1.0842071875567623,0.0,0.0006306656836968339,0.8,7,50,LSTM,1,15,4.458042706455547e-07,COMPLETE
24,-1.0,2026-02-27 16:18:09.842037,2026-02-27 16:18:10.755070,0 days 00:00:00.913033,16,0.4,0.00030231324969179016,20,base,256,128,1,0.6517558600087628,0.0,3.199253940811308e-05,0.4,5,20,GRU,2,15,3.8358753321484e-05,COMPLETE
22,-1.0,2026-02-27 16:18:07.904257,2026-02-27 16:18:08.856974,0 days 00:00:00.952717,16,0.8,0.0006793102225690379,15,base,128,128,1,0.32925974928183577,0.0,1.9507801685985586e-05,0.4,7,20,BiGRU,2,20,1.4274742804097854e-06,COMPLETE
21,-1.0,2026-02-27 16:18:06.962107,2026-02-27 16:18:07.903737,0 days 00:00:00.941630,16,0.6000000000000001,0.0003619843410561009,15,base,256,128,1,1.6083986471987148,0.0,1.0820079602376484e-05,0.4,10,20,BiGRU,2,20,2.019762568189576e-06,COMPLETE
20,-1.0,2026-02-27 16:18:06.202835,2026-02-27 16:18:06.961693,0 days 00:00:00.758858,16,0.2,0.003234810160500875,10,base,256,32,1,0.4687207745693462,0.1,0.00040343168101339405,0.8,5,50,BiLSTM,1,5,1.8038456015327756e-05,COMPLETE
19,-1.0,2026-02-27 16:18:05.426389,2026-02-27 16:18:06.202435,0 days 00:00:00.776046,64,0.0,0.002137031624948886,10,base,64,64,1,0.8483468901809095,0.2,8.713845198103533e-05,0.8,5,30,BiLSTM,2,5,1.104256508124444e-06,COMPLETE
18,-1.0,2026-02-27 16:18:04.656621,2026-02-27 16:18:05.425981,0 days 00:00:00.769360,64,0.30000000000000004,0.0026931120279768054,20,base,64,128,1,0.9557311603106673,0.2,0.0022595307923652577,0.4,7,30,BiLSTM,1,5,7.230895845444603e-05,COMPLETE
17,-1.0,2026-02-27 16:18:03.878458,2026-02-27 16:18:04.656205,0 days 00:00:00.777747,64,0.30000000000000004,0.0012444107934998076,10,base,256,32,1,0.7539754120484843,0.30000000000000004,5.9841015289237356e-05,0.8,5,50,LSTM,1,5,3.7918861247719437e-07,COMPLETE
16,-1.0,2026-02-27 16:18:03.084732,2026-02-27 16:18:03.878020,0 days 00:00:00.793288,64,0.0,0.0040660203937727965,20,base,256,64,1,0.21227726564069077,0.2,2.0923909896403106e-06,0.4,7,50,BiLSTM,1,5,9.310328204402135e-07,COMPLETE
15,-1.0,2026-02-27 16:18:02.249814,2026-02-27 16:18:03.084326,0 days 00:00:00.834512,64,0.8,0.005959946101475146,10,base,64,64,1,0.693205541307388,0.0,0.0021886694294615833,0.8,10,30,BiLSTM,2,10,0.0009705210077567481,COMPLETE
14,-1.0,2026-02-27 16:18:01.403904,2026-02-27 16:18:02.249404,0 days 00:00:00.845500,32,0.2,0.00015273911437165021,10,base,256,32,1,0.3251670598438299,0.1,1.5779513707016198e-05,0.8,7,30,BiLSTM,1,5,4.985297705139235e-07,COMPLETE
13,-1.0,2026-02-27 16:18:00.628644,2026-02-27 16:18:01.403474,0 days 00:00:00.774830,16,0.8,0.003968353164999337,15,base,64,128,1,0.32162564281661027,0.2,0.00011812481487158484,0.8,10,30,BiLSTM,2,5,0.00045010055566869713,COMPLETE
12,-1.0,2026-02-27 16:17:59.857444,2026-02-27 16:18:00.628225,0 days 00:00:00.770781,64,0.30000000000000004,0.008942456868220941,20,base,128,64,1,0.9430304149103024,0.2,0.000954102470844825,0.8,10,30,BiLSTM,2,5,0.0006373861401710437,COMPLETE
11,-1.0,2026-02-27 16:17:59.011428,2026-02-27 16:17:59.857041,0 days 00:00:00.845613,64,0.30000000000000004,0.004588218767972376,20,base,64,128,1,0.757635245010333,0.0,0.00017874579657832797,0.8,10,30,LSTM,2,10,6.48919887588535e-05,COMPLETE
10,-1.0,2026-02-27 16:17:58.198039,2026-02-27 16:17:59.011014,0 days 00:00:00.812975,64,0.1,0.0006356601429897122,10,base,256,64,1,0.5732867766526786,0.1,0.00012945446013237378,0.4,5,20,BiGRU,1,5,1.4580709483275406e-06,COMPLETE
9,-1.0,2026-02-27 16:17:57.343541,2026-02-27 16:17:58.197613,0 days 00:00:00.854072,64,0.2,2.5582308316348485e-05,20,base,256,64,1,0.21139814836621615,0.1,7.396773479854626e-05,0.8,10,50,BiLSTM,2,5,4.213065578164059e-06,COMPLETE
8,-1.0,2026-02-27 16:17:56.444065,2026-02-27 16:17:57.343063,0 days 00:00:00.898998,64,0.2,0.001658295366798798,10,base,256,64,1,0.4497710524353041,0.2,3.2033866733263444e-06,0.8,5,50,BiLSTM,2,15,0.0002260109641752805,COMPLETE
7,-1.0,2026-02-27 16:17:55.623854,2026-02-27 16:17:56.443351,0 days 00:00:00.819497,64,0.0,0.0008998182609038295,15,base,256,64,1,1.5557022300478307,0.30000000000000004,1.5557161053559398e-05,0.8,5,50,BiLSTM,1,10,9.610016194030049e-06,COMPLETE
6,-1.0,2026-02-27 16:17:54.850083,2026-02-27 16:17:55.623406,0 days 00:00:00.773323,32,0.0,0.0043270326554419765,10,base,256,64,1,0.6332350914209937,0.1,5.401609597842773e-06,0.8,10,20,LSTM,1,5,2.1213451841209787e-06,COMPLETE
5,-1.0,2026-02-27 16:17:53.945286,2026-02-27 16:17:54.849484,0 days 00:00:00.904198,64,0.2,0.0027395314018766577,10,base,256,64,1,0.194498925940577,0.0,0.00010868034040482704,0.8,5,50,BiLSTM,1,15,1.1001792687665545e-07,COMPLETE
4,-1.0,2026-02-27 16:17:53.058242,2026-02-27 16:17:53.944862,0 days 00:00:00.886620,16,0.5,0.0009028977005440831,10,base,256,32,1,1.1179718997420411,0.0,0.004295992790539129,0.8,10,50,GRU,1,15,9.083381663660572e-07,COMPLETE
3,-1.0,2026-02-27 16:17:52.166009,2026-02-27 16:17:53.057816,0 days 00:00:00.891807,32,0.7000000000000001,0.0022210781047073028,20,base,64,32,1,0.8930809059826801,0.4,5.57545398077537e-06,0.4,10,20,GRU,1,15,0.00037173717478250506,COMPLETE
2,-1.0,2026-02-27 16:17:51.154793,2026-02-27 16:17:52.165580,0 days 00:00:01.010787,16,0.7000000000000001,0.0002541912674409519,15,base,256,128,1,0.9123279348812443,0.0,1.753594952976443e-05,0.4,10,20,BiGRU,2,20,1.9986340778528843e-06,COMPLETE
23,-1.0,2026-02-27 16:18:08.857394,2026-02-27 16:18:09.841620,0 days 00:00:00.984226,16,0.8,0.002408417211863223,15,base,256,32,1,0.7585407926960813,0.0,0.00011586852773905177,0.4,10,20,LSTM,1,20,5.759911941676907e-07,COMPLETE
25,-1.0,2026-02-27 16:18:10.755623,2026-02-27 16:18:11.813501,0 days 00:00:01.057878,16,0.7000000000000001,0.0005729249092462151,15,base,256,128,1,0.6728626577906192,0.0,4.7707839133078564e-05,0.4,10,30,LSTM,2,20,2.1732093591493504e-05,COMPLETE
48,-1.0,2026-02-27 16:18:31.618055,2026-02-27 16:18:32.407240,0 days 00:00:00.789185,64,0.1,0.004061161467851119,20,base,64,128,1,0.5299021346780736,0.1,0.0020890524062895134,0.8,10,30,BiLSTM,2,5,0.0007167135201150156,COMPLETE
26,-1.0,2026-02-27 16:18:11.813929,2026-02-27 16:18:12.655953,0 days 00:00:00.842024,64,0.30000000000000004,0.005826231192672516,15,base,64,128,1,0.9987871225611291,0.2,0.009052090520803937,0.4,10,30,GRU,2,10,0.000648770021840516,COMPLETE
47,-1.0,2026-02-27 16:18:30.656442,2026-02-27 16:18:31.617655,0 days 00:00:00.961213,16,0.8,0.00041828389856973656,10,base,64,128,1,0.8342341142861764,0.0,0.0001227045945857943,0.4,10,20,BiGRU,2,15,1.906063419336834e-06,COMPLETE
46,-1.0,2026-02-27 16:18:29.772818,2026-02-27 16:18:30.656014,0 days 00:00:00.883196,16,0.8,0.0014366746122405744,10,base,256,32,1,1.1304034919505306,0.0,0.004491358285765917,0.8,10,50,BiLSTM,2,15,2.5900540320976394e-07,COMPLETE
45,-1.0,2026-02-27 16:18:28.884696,2026-02-27 16:18:29.772322,0 days 00:00:00.887626,64,0.2,0.0027805733254649134,10,base,256,64,1,0.3833792078382773,0.2,0.00010102301596254063,0.8,5,50,BiLSTM,1,5,8.197692412257702e-07,COMPLETE
44,-1.0,2026-02-27 16:18:27.952642,2026-02-27 16:18:28.884286,0 days 00:00:00.931644,64,0.1,0.002139809559629337,20,base,256,64,1,0.5010812856368256,0.0,4.207942947215708e-05,0.8,5,50,BiGRU,1,5,9.702821192256454e-07,COMPLETE
43,-1.0,2026-02-27 16:18:27.073904,2026-02-27 16:18:27.952134,0 days 00:00:00.878230,32,0.30000000000000004,0.002042790838287289,20,base,64,32,1,1.2174403039226285,0.30000000000000004,3.655826237068193e-06,0.4,10,20,BiGRU,1,10,6.822766007651845e-05,COMPLETE
42,-1.0,2026-02-27 16:18:26.072912,2026-02-27 16:18:27.073460,0 days 00:00:01.000548,16,0.5,0.002227302892456201,10,base,256,32,1,1.2829028386822876,0.1,0.0011234768660279928,0.8,10,50,GRU,1,20,4.543246103819307e-06,COMPLETE
41,-1.0,2026-02-27 16:18:25.236323,2026-02-27 16:18:26.072460,0 days 00:00:00.836137,64,0.5,0.003542470258443655,20,base,256,32,1,0.8912414007738685,0.0,0.002097629529120506,0.8,10,50,GRU,1,10,1.405665255660653e-07,COMPLETE
40,-1.0,2026-02-27 16:18:24.154569,2026-02-27 16:18:25.235897,0 days 00:00:01.081328,32,0.5,0.002922324444044545,15,base,64,32,1,1.4482528187861567,0.4,7.657852763284859e-06,0.4,5,20,GRU,1,15,0.0002371764859500985,COMPLETE
39,-1.0,2026-02-27 16:18:22.843576,2026-02-27 16:18:24.154035,0 days 00:00:01.310459,64,0.7000000000000001,0.003198375638205592,20,base,256,32,1,1.1624931667644813,0.30000000000000004,3.1366834829343637e-06,0.4,10,20,BiLSTM,1,20,0.0008342163763590037,COMPLETE
38,-1.0,2026-02-27 16:18:22.026121,2026-02-27 16:18:22.843076,0 days 00:00:00.816955,16,0.6000000000000001,0.0006558879846813915,20,base,128,32,1,1.1447966936855172,0.4,3.247717846436563e-06,0.4,10,20,LSTM,2,10,0.00040416264490254896,COMPLETE
37,-1.0,2026-02-27 16:18:21.273372,2026-02-27 16:18:22.025703,0 days 00:00:00.752331,64,0.7000000000000001,0.006285415282195238,20,base,64,32,1,0.7182275052537643,0.2,0.00030547774392568496,0.8,5,30,BiLSTM,2,5,0.00016747255635927134,COMPLETE
36,-1.0,2026-02-27 16:18:20.362610,2026-02-27 16:18:21.272950,0 days 00:00:00.910340,32,0.8,0.00406776276918028,10,base,64,32,1,1.0890461168936658,0.4,4.874968344210099e-06,0.8,10,20,BiLSTM,1,10,0.000145278233575933,COMPLETE
35,-1.0,2026-02-27 16:18:19.585509,2026-02-27 16:18:20.362173,0 days 00:00:00.776664,64,0.5,0.0024591146591627293,20,base,256,128,1,0.4537928922763519,0.1,0.0006304516279077952,0.4,10,30,BiLSTM,2,5,0.00018299227944544715,COMPLETE
34,-1.0,2026-02-27 16:18:18.799277,2026-02-27 16:18:19.585073,0 days 00:00:00.785796,64,0.2,0.0009119903118916383,10,base,128,64,1,0.640999425905008,0.0,3.0505138854753775e-06,0.8,5,50,BiLSTM,1,5,6.115509344250264e-06,COMPLETE
33,-1.0,2026-02-27 16:18:18.012139,2026-02-27 16:18:18.798866,0 days 00:00:00.786727,32,0.4,0.008373235883576812,20,base,64,128,1,0.8502599920161692,0.1,0.004245262150858292,0.8,10,50,BiLSTM,2,5,0.0001458481717818331,COMPLETE
32,-1.0,2026-02-27 16:18:17.100406,2026-02-27 16:18:18.011736,0 days 00:00:00.911330,32,0.6000000000000001,0.0022172734172612825,20,base,64,32,1,1.4598294807961936,0.30000000000000004,2.8787175965142896e-05,0.8,10,50,GRU,2,15,0.0003802584615501704,COMPLETE
31,-1.0,2026-02-27 16:18:16.205275,2026-02-27 16:18:17.099929,0 days 00:00:00.894654,32,0.8,0.0028588044333313655,20,base,64,32,1,0.38990018698644646,0.4,4.38282002442937e-06,0.4,10,20,GRU,1,15,0.0005992105838254101,COMPLETE
30,-1.0,2026-02-27 16:18:15.304322,2026-02-27 16:18:16.204858,0 days 00:00:00.900536,64,0.2,0.0007814539832684339,10,base,64,64,1,0.528953422832446,0.2,5.7603587082815864e-05,0.8,10,50,GRU,1,10,1.8871816283349937e-05,COMPLETE
29,-1.0,2026-02-27 16:18:14.343762,2026-02-27 16:18:15.303592,0 days 00:00:00.959830,32,0.8,0.0014598279214463287,10,base,64,32,1,0.7976719248196029,0.0,1.4822884900491056e-06,0.4,10,50,BiGRU,2,20,4.6299848795504396e-07,COMPLETE
28,-1.0,2026-02-27 16:18:13.554386,2026-02-27 16:18:14.343310,0 days 00:00:00.788924,64,0.30000000000000004,0.006121141746300157,15,base,256,128,1,0.5056298011216638,0.0,0.0001452244070826197,0.8,5,30,BiLSTM,2,5,0.00016248660561272286,COMPLETE
27,-1.0,2026-02-27 16:18:12.656470,2026-02-27 16:18:13.553960,0 days 00:00:00.897490,32,0.8,0.0021950048825619467,15,base,256,128,1,0.7209526210273487,0.0,2.565028610601219e-05,0.8,10,20,GRU,2,15,1.5803598810904705e-06,COMPLETE
99,-1.0,2026-02-27 16:19:19.163460,2026-02-27 16:19:20.053089,0 days 00:00:00.889629,64,0.30000000000000004,9.08497216428904e-05,20,base,256,64,1,0.5939310049809289,0.0,2.235737015219524e-05,0.8,7,20,BiLSTM,1,5,8.323738000767802e-06,COMPLETE
